B,H0+H34+H35
B00,H0
B01,H0
B02,H0
B03,H0
B04,H0
B05,H0
B06,H0
B07,H0
B08,H0
B09,H0
B10,H0
B11,H0
B12,H0
B13,H0
B14,H0
B15,H0
B16,H0
B17,H0
B18,H0
B19,H0
B20,H0
B21,H0
B22,H0
B23,H0
B24,H0
B25,H0
B26,H0
B27,H0
B28,H0
B29,H0
B30,H0
B31,H0
B32,H0
B33,H0
B34,H0
B35,H0
B36,H0
B37,H0
B38,H0
B39,H0
B40,H0
B41,H0
B42,H0
B43,H0
B44,H0
B45,H0
B46,H0
B47,H0
B48,H0
B49,H0
B50,H0
B51,H0
B52,H0
B53,H0
B54,H0
B55,H0
B56,H0
B57,H0
B58,H0
B59,H0
B60,H0+H35
B60SW,H0
B60NW,H0
B60SE,H0+H35
B60NE,H0
B60A,H0
B60B,H0
B60C,H0
B60D,H0
B60E,H0
B60F,H0
B60G,H0
B60H,H0
B60I,H0
B60J,H0
B60K,H0
B60L,H0+H35
B6402,H0
B6403,H0
B6502,H0+H35
B650020,H0
B650021,H0
B650022,H0
B650023,H0
B650024,H0
B650025,H0
B650026,H0
B650027,H0
B650028,H0
B650029,H0
B651020,H0
B651021,H0
B651022,H0
B651023,H0
B651024,H0
B651025,H0
B651026,H0
B651027,H0
B651028,H0
B651029,H0
B652020,H0
B652021,H0
B652022,H0
B652023,H0
B652024,H0
B652025,H0
B652026,H0
B652027,H0
B652028,H0
B652029,H0
B653020,H0
B653021,H0
B653022,H0
B653023,H0
B653024,H0+H35
B653025,H0+H35
B653026,H0
B653027,H0
B653028,H0
B653029,H0
B654020,H0
B654021,H0
B654022,H0
B654023,H0
B654024,H0+H35
B654025,H0+H35
B654026,H0+H35
B654027,H0
B654028,H0
B654029,H0
B655020,H0
B655021,H0
B655022,H0
B655023,H0
B655024,H0+H35
B655025,H0+H35
B655026,H0+H35
B655027,H0
B655028,H0
B655029,H0
B656020,H0
B656021,H0
B656022,H0
B656023,H0+H35
B656024,H0+H35
B656025,H0+H35
B656026,H0+H35
B656027,H0+H35
B656028,H0
B656029,H0
B657020,H0
B657021,H0
B657022,H0
B657023,H0
B657024,H0+H35
B657025,H0+H35
B657026,H35
B657027,H0+H35
B657028,H0
B657029,H0
B658020,H0
B658021,H0
B658022,H0
B658023,H0
B658024,H0
B658025,H0+H35
B658026,H35
B658027,H0+H35
B658028,H0
B658029,H0
B659020,H0
B659021,H0
B659022,H0
B659023,H0
B659024,H0
B659025,H0+H35
B659026,H0+H35
B659027,H0+H35
B659028,H0+H35
B659029,H0
B6503,H0
B60M,H0
B60N,H0
B60P,H0
B60Q,H0
B60R,H0+H35
B6602,H0+H35
B660020,H0
B660021,H0
B660022,H0
B660023,H0
B660024,H0
B660025,H0+H35
B660026,H0+H35
B660027,H0+H35
B660028,H0+H35
B660029,H0
B661020,H0
B661021,H0
B661022,H0
B661023,H0
B661024,H0
B661025,H0+H35
B661026,H0+H35
B661027,H0
B661028,H0
B661029,H0
B662020,H0
B662021,H0
B662022,H0
B662023,H0
B662024,H0
B662025,H0+H35
B662026,H0+H35
B662027,H0
B662028,H0
B662029,H0
B663020,H0
B663021,H0
B663022,H0
B663023,H0
B663024,H0
B663025,H0+H35
B663026,H0+H35
B663027,H0
B663028,H0
B663029,H0
B664020,H0
B664021,H0
B664022,H0
B664023,H0
B664024,H0
B664025,H0
B664026,H0
B664027,H0
B664028,H0
B664029,H0
B665020,H0
B665021,H0
B665022,H0
B665023,H0
B665024,H0
B665025,H0
B665026,H0
B665027,H0
B665028,H0
B665029,H0
B666020,H0
B666021,H0
B666022,H0
B666023,H0
B666024,H0
B666025,H0
B666026,H0
B666027,H0
B666028,H0
B666029,H0
B667020,H0
B667021,H0
B667022,H0
B667023,H0
B667024,H0
B667025,H0
B667026,H0
B667027,H0
B667028,H0
B667029,H0
B668020,H0
B668021,H0
B668022,H0
B668023,H0
B668024,H0
B668025,H0
B668026,H0
B668027,H0
B668028,H0
B668029,H0
B669020,H0
B669021,H0
B669022,H0
B669023,H0
B669024,H0
B669025,H0
B669026,H0
B669027,H0
B669028,H0
B669029,H0
B6603,H0
B6702,H0
B6703,H0
B60S,H0
B60T,H0
B60U,H0
B60V,H0+H35
B6800,H0+H35
B680000,H0
B680001,H0
B680002,H0
B680003,H0
B680004,H0
B680005,H0
B680006,H0
B680007,H0
B680008,H0
B680009,H0
B681000,H0+H35
