H,H29+H30+H31+H32+H33+H34+H35+H36+H37+H39+H40
H00,H29
H01,H29+H30
H01SW,H29
H01NW,H29
H01SE,H29
H01NE,H29+H30
H01A,H29
H01B,H29
H01C,H29
H01D,H29
H01E,H29
H01F,H29
H01G,H29
H01H,H29
H01I,H29
H01J,H29
H01K,H29
H01L,H29
H01M,H29
H01N,H29
H01P,H29
H01Q,H29
H01R,H29
H01S,H29
H01T,H29
H01U,H29+H30
H0618,H29
H0619,H29
H0718,H29
H0719,H29+H30
H070190,H29
H070191,H29
H070192,H29
H070193,H29
H070194,H29
H070195,H29
H070196,H29
H070197,H29
H070198,H29
H070199,H29
H071190,H29
H071191,H29
H071192,H29
H071193,H29
H071194,H29
H071195,H29
H071196,H29
H071197,H29
H071198,H29
H071199,H29
H072190,H29
H072191,H29
H072192,H29
H072193,H29
H072194,H29
H072195,H29
H072196,H29
H072197,H29
H072198,H29
H072199,H29
H073190,H29
H073191,H29
H073192,H29
H073193,H29
H073194,H29
H073195,H29
H073196,H29
H073197,H29
H073198,H29
H073199,H29
H074190,H29
H074191,H29
H074192,H29
H074193,H29
H074194,H29
H074195,H29
H074196,H29
H074197,H29
H074198,H29
H074199,H29
H075190,H29
H075191,H29
H075192,H29
H075193,H29
H075194,H29
H075195,H29
H075196,H29
H075197,H29
H075198,H29
H075199,H29
H076190,H29
H076191,H29
H076192,H29
H076193,H29
H076194,H29
H076195,H29
H076196,H29
H076197,H29
H076198,H29
H076199,H29
H077190,H29
H077191,H29
H077192,H29
H077193,H29
H077194,H29
H077195,H29
H077196,H29
H077197,H29
H077198,H29
H077199,H29
H078190,H29
H078191,H29
H078192,H29
H078193,H29
H078194,H29
H078195,H29
H078196,H29
H078197,H29
H078198,H29+H30
H078199,H29+H30
H079190,H29
H079191,H29
H079192,H29
H079193,H29
H079194,H29
H079195,H29
H079196,H29
H079197,H29+H30
H079198,H29+H30
H079199,H30
H01V,H29
H01W,H29
H01X,H29
H01Y,H29+H30
H0816,H29
H0817,H29
H0916,H29
H0917,H29+H30
H090170,H29
H090171,H29
H090172,H29
H090173,H29
H090174,H29
H090175,H29
H090176,H29
H090177,H29
H090178,H29
H090179,H29
H091170,H29
H091171,H29
H091172,H29
H091173,H29
