J,H0+H31+H36+H37+H38+H39
J00,H0+H31
J00SW,H31
J00NW,H0+H31
J00SE,H0+H31
J00NE,H0+H31
J00A,H31
J00B,H31
J00C,H31
J00D,H31
J00E,H31
J00F,H31
J00G,H31
J00H,H31
J00I,H31
J00J,H31
J00K,H31
J00L,H31
J00M,H31
J00N,H0+H31
J0406,H31
J0407,H31
J0506,H31
J0507,H0+H31
J050070,H31
J050071,H31
J050072,H31
J050073,H31
J050074,H31
J050075,H31
J050076,H31
J050077,H31
J050078,H31
J050079,H31
J051070,H31
J051071,H31
J051072,H31
J051073,H31
J051074,H31
J051075,H31
J051076,H31
J051077,H31
J051078,H31
J051079,H31
J052070,H31
J052071,H31
J052072,H31
J052073,H31
J052074,H31
J052075,H31
J052076,H31
J052077,H31
J052078,H31
J052079,H31
J053070,H31
J053071,H31
J053072,H31
J053073,H31
J053074,H31
J053075,H31
J053076,H31
J053077,H31
J053078,H31
J053079,H31
J054070,H31
J054071,H31
J054072,H31
J054073,H31
J054074,H31
J054075,H31
J054076,H31
J054077,H31
J054078,H31
J054079,H0+H31
J055070,H31
J055071,H31
J055072,H31
J055073,H31
J055074,H31
J055075,H31
J055076,H31
J055077,H31
J055078,H0+H31
J055079,H0+H31
J056070,H31
J056071,H31
J056072,H31
J056073,H31
J056074,H31
J056075,H31
J056076,H31
J056077,H0+H31
J056078,H0+H31
J056079,H0
J057070,H31
J057071,H31
J057072,H31
J057073,H31
J057074,H31
J057075,H31
J057076,H31
J057077,H0+H31
J057078,H0+H31
J057079,H0+H31
J058070,H31
J058071,H31
J058072,H31
J058073,H31
J058074,H31
J058075,H31
J058076,H0+H31
J058077,H0+H31
J058078,H0+H31
J058079,H0
J059070,H31
J059071,H31
J059072,H31
J059073,H31
J059074,H31
J059075,H31
J059076,H0+H31
J059077,H0+H31
J059078,H0+H31
J059079,H0
J00P,H0+H31
J0408,H0+H31
J040080,H31
J040081,H31
J040082,H31
J040083,H31
J040084,H31
J040085,H31
J040086,H31
J040087,H31
J040088,H31
J040089,H31
J041080,H31
J041081,H31
J041082,H31
J041083,H31
J041084,H31
J041085,H31
J041086,H31
J041087,H31
J041088,H31
J041089,H31
J042080,H31
J042081,H31
J042082,H31
J042083,H31
J042084,H31
J042085,H31
