L,H0+H9+H16+H27
L00,H0
L01,H0
L02,H0
L03,H0
L04,H0
L05,H0
L06,H0
L07,H0
L08,H0
L09,H0
L10,H0
L11,H0
L12,H0
L13,H0
L14,H0
L15,H0
L16,H0
L17,H0
L18,H0
L19,H0
L20,H0
L21,H0
L22,H0
L23,H0
L24,H0
L25,H0
L26,H0
L27,H0
L28,H0
L29,H0
L30,H0
L31,H0
L32,H0
L33,H0
L34,H0
L35,H0
L36,H0
L37,H0
L38,H0
L39,H0
L40,H0
L41,H0
L42,H0
L43,H0
L44,H0
L45,H0+H16
L45SW,H0
L45NW,H0
L45SE,H0
L45NE,H0+H16
L45A,H0
L45B,H0
L45C,H0
L45D,H0
L45E,H0
L45F,H0
L45G,H0
L45H,H0
L45I,H0
L45J,H0
L45K,H0
L45L,H0
L45M,H0
L45N,H0
L45P,H0
L45Q,H0
L45R,H0
L45S,H0
L45T,H0
L45U,H0
L45V,H0
L45W,H0
L45X,H0
L45Y,H0+H16
L4856,H0
L4857,H0
L4956,H0+H16
L490560,H0
L490561,H0
L490562,H0
L490563,H0
L490564,H0
L490565,H0
L490566,H0
L490567,H0
L490568,H0
L490569,H0
L491560,H0
L491561,H0
L491562,H0
L491563,H0
L491564,H0
L491565,H0
L491566,H0
L491567,H0
L491568,H0
L491569,H0
L492560,H0
L492561,H0
L492562,H0
L492563,H0
L492564,H0
L492565,H0
L492566,H0
L492567,H0
L492568,H0
L492569,H0
L493560,H0
L493561,H0
L493562,H0
L493563,H0
L493564,H0
L493565,H0
L493566,H0
L493567,H0
L493568,H0
L493569,H0
L494560,H0
L494561,H0
L494562,H0
L494563,H0
L494564,H0
L494565,H0
L494566,H0
L494567,H0
L494568,H0
L494569,H0
L495560,H0
L495561,H0
L495562,H0
L495563,H0
L495564,H0
L495565,H0
L495566,H0
L495567,H0
L495568,H0
L495569,H0
L496560,H0
L496561,H0
L496562,H0
L496563,H0
L496564,H0
L496565,H0
L496566,H0
L496567,H0
L496568,H0
L496569,H0
L497560,H0
L497561,H0
L497562,H0
L497563,H0
L497564,H0
L497565,H0
L497566,H0
L497567,H0
L497568,H0
L497569,H0+H16
L498560,H0
L498561,H0
L498562,H0
L498563,H0
L498564,H0
L498565,H0
L498566,H0
L498567,H0
L498568,H0+H16
L498569,H0+H16
L499560,H0
L499561,H0
L499562,H0
L499563,H0
L499564,H0
L499565,H0
L499566,H0
L499567,H0
L499568,H0
L499569,H0+H16
L4957,H0+H16
L490570,H0
L490571,H0
L490572,H0
L490573,H0
L490574,H0
L490575,H0
L490576,H0
L490577,H0
L490578,H0
L490579,H0
L491570,H0
L491571,H0
L491572,H0
L491573,H0
L491574,H0
L491575,H0
L491576,H0
L491577,H0
L491578,H0
L491579,H0
L492570,H0
L492571,H0
L492572,H0
L492573,H0
L492574,H0
L492575,H0
L492576,H0
L492577,H0
L492578,H0
L492579,H0
L493570,H0
L493571,H0
L493572,H0
L493573,H0
L493574,H0
L493575,H0
L493576,H0
L493577,H0
L493578,H0
L493579,H0
L494570,H0
L494571,H0
L494572,H0
L494573,H0
L494574,H0
L494575,H0
L494576,H0
L494577,H0
L494578,H0
L494579,H0
L495570,H0
L495571,H0
L495572,H0
L495573,H0
L495574,H0
L495575,H0
L495576,H0
L495577,H0
L495578,H0
L495579,H0
L496570,H0
L496571,H0
L496572,H0
L496573,H0
L496574,H0
L496575,H0
L496576,H0
L496577,H0
L496578,H0
L496579,H0
L497570,H0
L497571,H0
L497572,H0
L497573,H0
L497574,H0
L497575,H0
L497576,H0
L497577,H0
L497578,H0
L497579,H0
L498570,H0+H16
L498571,H0+H16
L498572,H0
L498573,H0
L498574,H0
L498575,H0
L498576,H0
L498577,H0
L498578,H0
L498579,H0
L499570,H0+H16
L499571,H0+H16
L499572,H0+H16
L499573,H0
L499574,H0
L499575,H0
L499576,H0
L499577,H0
L499578,H0
L499579,H0
L45Z,H0
L46,H0+H16
L46SW,H0
L46NW,H0
L46SE,H0+H16
L46NE,H0+H16
L46A,H0
L46B,H0
L46C,H0
L46D,H0
L46E,H0
L46F,H0
L46G,H0
L46H,H0
L46I,H0
L46J,H0
L46K,H0
L46L,H0
L46M,H0
L46N,H0
L46P,H0
L46Q,H0
L46R,H0+H16
L4662,H0
L4663,H0
L4762,H0
L4763,H0+H16
L470630,H0
L470631,H0
L470632,H0
L470633,H0
L470634,H0
L470635,H0
L470636,H0
L470637,H0
L470638,H0
L470639,H0
L471630,H0
L471631,H0
L471632,H0
L471633,H0
L471634,H0
L471635,H0
L471636,H0
L471637,H0
L471638,H0
L471639,H0
L472630,H0
L472631,H0
L472632,H0
L472633,H0
L472634,H0
L472635,H0
L472636,H0
L472637,H0
L472638,H0
L472639,H0
L473630,H0
L473631,H0
L473632,H0
L473633,H0
L473634,H0
L473635,H0
L473636,H0
L473637,H0
L473638,H0
L473639,H0
L474630,H0
L474631,H0
L474632,H0
L474633,H0
L474634,H0
L474635,H0
L474636,H0
L474637,H0
L474638,H0
L474639,H0
L475630,H0
L475631,H0
L475632,H0
L475633,H0
L475634,H0
L475635,H0
L475636,H0
L475637,H0
L475638,H0
L475639,H0
L476630,H0
L476631,H0
L476632,H0
L476633,H0
L476634,H0
L476635,H0
L476636,H0
L476637,H0
L476638,H0+H16
L476639,H0
L477630,H0
L477631,H0
L477632,H0
L477633,H0
L477634,H0
L477635,H0
L477636,H0
L477637,H0+H16
L477638,H0+H16
L477639,H0+H16
L478630,H0
L478631,H0
L478632,H0
L478633,H0
L478634,H0
L478635,H0
L478636,H0+H16
L478637,H0+H16
L478638,H16
L478639,H16
L479630,H0
L479631,H0
L479632,H0
L479633,H0
L479634,H0
L479635,H0
L479636,H0+H16
L479637,H16
L479638,H16
L479639,H16
L46S,H0+H16
L4664,H0
L4665,H0
L4764,H0+H16
L470640,H0
L470641,H0
L470642,H0
L470643,H0
L470644,H0
L470645,H0
L470646,H0
L470647,H0
L470648,H0
L470649,H0
L471640,H0
L471641,H0
L471642,H0
L471643,H0
L471644,H0
L471645,H0
L471646,H0
L471647,H0
L471648,H0
L471649,H0
L472640,H0
L472641,H0
L472642,H0
L472643,H0
L472644,H0
L472645,H0
L472646,H0
L472647,H0
L472648,H0
L472649,H0
L473640,H0
L473641,H0
L473642,H0
L473643,H0
L473644,H0
L473645,H0
L473646,H0
L473647,H0
L473648,H0
L473649,H0
L474640,H0
L474641,H0
L474642,H0
L474643,H0
L474644,H0
L474645,H0
L474646,H0
L474647,H0
L474648,H0
L474649,H0
L475640,H0
L475641,H0
L475642,H0
L475643,H0
L475644,H0
L475645,H0
L475646,H0
L475647,H0
L475648,H0
L475649,H0
L476640,H0
L476641,H0
L476642,H0
L476643,H0
L476644,H0
L476645,H0
L476646,H0
L476647,H0
L476648,H0
L476649,H0
L477640,H0+H16
L477641,H0
L477642,H0
L477643,H0
L477644,H0
L477645,H0
L477646,H0
L477647,H0
L477648,H0
L477649,H0
L478640,H0+H16
L478641,H0
L478642,H0
L478643,H0
L478644,H0
L478645,H0
L478646,H0
L478647,H0
L478648,H0
L478649,H0
L479640,H0+H16
L479641,H0+H16
L479642,H0+H16
L479643,H0+H16
L479644,H0
L479645,H0
L479646,H0
L479647,H0
L479648,H0
L479649,H0
L4765,H0
L46T,H0
L46U,H0
L46V,H0
L46W,H0+H16
L4862,H0
L4863,H0+H16
L480630,H0
L480631,H0
L480632,H0
L480633,H0
L480634,H0
L480635,H0
L480636,H0+H16
L480637,H16
L480638,H16
L480639,H16
L481630,H0
L481631,H0
L481632,H0
L481633,H0
L481634,H0
L481635,H0
L481636,H0+H16
L481637,H16
L481638,H16
L481639,H16
L482630,H0
L482631,H0
L482632,H0
L482633,H0
L482634,H0
L482635,H0
L482636,H0+H16
L482637,H0+H16
L482638,H0+H16
L482639,H16
L483630,H0
L483631,H0
L483632,H0
L483633,H0
L483634,H0
L483635,H0
L483636,H0
L483637,H0
L483638,H0+H16
L483639,H0+H16
L484630,H0
L484631,H0
L484632,H0
L484633,H0
L484634,H0
L484635,H0
L484636,H0
L484637,H0
L484638,H0
L484639,H0+H16
L485630,H0
L485631,H0
L485632,H0
L485633,H0
L485634,H0
L485635,H0
L485636,H0
L485637,H0
L485638,H0
L485639,H0+H16
L486630,H0
L486631,H0
L486632,H0
L486633,H0
L486634,H0
L486635,H0
L486636,H0
L486637,H0
L486638,H0
L486639,H0
L487630,H0
L487631,H0
L487632,H0
L487633,H0
L487634,H0
L487635,H0
L487636,H0
L487637,H0
L487638,H0
L487639,H0
L488630,H0
L488631,H0
L488632,H0
L488633,H0
L488634,H0
L488635,H0
L488636,H0
L488637,H0
L488638,H0
L488639,H0
L489630,H0
L489631,H0
L489632,H0
L489633,H0
L489634,H0
L489635,H0
L489636,H0
L489637,H0
L489638,H0
L489639,H0
L4962,H0+H16
L490620,H0
L490621,H0
L490622,H0
L490623,H0
L490624,H0
L490625,H0
L490626,H0
L490627,H0
L490628,H0
L490629,H0
L491620,H0
L491621,H0
L491622,H0
L491623,H0
L491624,H0
L491625,H0
L491626,H0
L491627,H0+H16
L491628,H0+H16
L491629,H0
L492620,H0
L492621,H0
L492622,H0
L492623,H0
L492624,H0
L492625,H0
L492626,H0
L492627,H0
L492628,H0+H16
L492629,H0
L493620,H0
L493621,H0
L493622,H0
L493623,H0
L493624,H0
L493625,H0
L493626,H0
L493627,H0
L493628,H0+H16
L493629,H0
L494620,H0
L494621,H0
L494622,H0
L494623,H0
L494624,H0
L494625,H0
L494626,H0
L494627,H0
L494628,H0+H16
L494629,H0
L495620,H0
L495621,H0
L495622,H0
L495623,H0
L495624,H0
L495625,H0
L495626,H0
L495627,H0
L495628,H0+H16
L495629,H0+H16
L496620,H0
L496621,H0
L496622,H0
L496623,H0
L496624,H0
L496625,H0
L496626,H0
L496627,H0
L496628,H0+H16
L496629,H0+H16
L497620,H0
L497621,H0
L497622,H0
L497623,H0
L497624,H0
L497625,H0
L497626,H0
L497627,H0
L497628,H0+H16
L497629,H0+H16
L498620,H0
L498621,H0
L498622,H0
L498623,H0
L498624,H0
L498625,H0
L498626,H0
L498627,H0
L498628,H0
L498629,H0
L499620,H0
L499621,H0
L499622,H0
L499623,H0
L499624,H0
L499625,H0
L499626,H0
L499627,H0
L499628,H0
L499629,H0
L4963,H0+H16
L490630,H0
L490631,H0
L490632,H0
L490633,H0
L490634,H0
L490635,H0
L490636,H0
L490637,H0
L490638,H0
L490639,H0
L491630,H0
L491631,H0
L491632,H0
L491633,H0
L491634,H0
L491635,H0
L491636,H0
L491637,H0
L491638,H0
L491639,H0
L492630,H0
L492631,H0
L492632,H0
L492633,H0
L492634,H0
L492635,H0
L492636,H0
L492637,H0
L492638,H0
L492639,H0
L493630,H0
L493631,H0
L493632,H0
L493633,H0
L493634,H0
L493635,H0
L493636,H0
L493637,H0
L493638,H0
L493639,H0
L494630,H0
L494631,H0
L494632,H0
L494633,H0
L494634,H0
L494635,H0
L494636,H0
L494637,H0
L494638,H0
L494639,H0
L495630,H0
L495631,H0
L495632,H0
L495633,H0
L495634,H0
L495635,H0
L495636,H0
L495637,H0
L495638,H0
L495639,H0
L496630,H0
L496631,H0
L496632,H0+H16
L496633,H0
L496634,H0
L496635,H0
L496636,H0
L496637,H0
L496638,H0
L496639,H0+H16
L497630,H0
L497631,H0
L497632,H0+H16
L497633,H0
L497634,H0
L497635,H0
L497636,H0
L497637,H0
L497638,H0
L497639,H0+H16
L498630,H0
L498631,H0
L498632,H0+H16
L498633,H0
L498634,H0
L498635,H0
L498636,H0
L498637,H0
L498638,H0
L498639,H0+H16
L499630,H0
L499631,H0+H16
L499632,H0+H16
L499633,H0
L499634,H0
L499635,H0
L499636,H0
L499637,H0
L499638,H0
