M,H0+H9+H10+H15+H16+H17+H18+H24+H25+H26+H27+H28+H29
M00,H0+H9
M00SW,H0
M00NW,H0
M00SE,H0+H9
M00NE,H0
M00A,H0
M00B,H0
M00C,H0
M00D,H0
M00E,H0
M00F,H0
M00G,H0
M00H,H0
M00I,H0
M00J,H0
M00K,H0
M00L,H0
M00M,H0
M00N,H0
M00P,H0
M00Q,H0+H9
M0600,H0
M0601,H0
M0700,H0+H9
M070000,H0
M070001,H0
M070002,H0
M070003,H0
M070004,H0
M070005,H0
M070006,H0
M070007,H0
M070008,H0
M070009,H0
M071000,H0
M071001,H0
M071002,H0
M071003,H0
M071004,H0
M071005,H0
M071006,H0
M071007,H0
M071008,H0
M071009,H0
M072000,H0
M072001,H0
M072002,H0
M072003,H0
M072004,H0
M072005,H0
M072006,H0
M072007,H0
M072008,H0
M072009,H0
M073000,H0+H9
M073001,H0
M073002,H0
M073003,H0
M073004,H0
M073005,H0
M073006,H0
M073007,H0
M073008,H0
M073009,H0
M074000,H0+H9
M074001,H0+H9
M074002,H0
M074003,H0
M074004,H0
M074005,H0
M074006,H0
M074007,H0
M074008,H0
M074009,H0
M075000,H9
M075001,H0+H9
M075002,H0
M075003,H0
M075004,H0
M075005,H0
M075006,H0
M075007,H0
M075008,H0
M075009,H0
M076000,H0+H9
M076001,H0+H9
M076002,H0
M076003,H0
M076004,H0
M076005,H0
M076006,H0
M076007,H0
M076008,H0
M076009,H0
M077000,H9
M077001,H0+H9
M077002,H0+H9
M077003,H0
M077004,H0
M077005,H0
M077006,H0
M077007,H0
M077008,H0
M077009,H0
M078000,H9
M078001,H9
M078002,H0+H9
M078003,H0+H9
M078004,H0
M078005,H0
M078006,H0
M078007,H0
M078008,H0
M078009,H0
M079000,H9
M079001,H9
M079002,H9
M079003,H0+H9
M079004,H0
M079005,H0
M079006,H0
M079007,H0
M079008,H0
M079009,H0
M0701,H0
M00R,H0
M00S,H0
M00T,H0
M00U,H0
M00V,H0+H9
M0800,H0+H9
M080000,H9
M080001,H9
M080002,H9
M080003,H0+H9
M080004,H0+H9
M080005,H0
M080006,H0
M080007,H0
M080008,H0
M080009,H0
M081000,H9
M081001,H9
M081002,H9
M081003,H9
M081004,H0+H9
M081005,H0+H9
M081006,H0
M081007,H0
M081008,H0
M081009,H0
M082000,H9
M082001,H9
M082002,H9
M082003,H9
M082004,H9
M082005,H0+H9
M082006,H0+H9
M082007,H0
M082008,H0
M082009,H0
M083000,H9
M083001,H9
M083002,H9
M083003,H9
M083004,H9
M083005,H9
M083006,H0+H9
M083007,H0+H9
M083008,H0
M083009,H0
M084000,H9
M084001,H9
M084002,H9
M084003,H9
M084004,H9
M084005,H9
M084006,H9
M084007,H0+H9
M084008,H0+H9
M084009,H0
M085000,H9
M085001,H9
M085002,H9
M085003,H9
M085004,H9
M085005,H9
M085006,H9
M085007,H9
M085008,H0+H9
M085009,H0+H9
M086000,H9
M086001,H9
M086002,H9
M086003,H9
M086004,H9
M086005,H9
M086006,H9
M086007,H9
M086008,H9
M086009,H9
M087000,H9
M087001,H9
M087002,H9
M087003,H9
M087004,H9
M087005,H9
M087006,H9
M087007,H9
M087008,H9
M087009,H9
M088000,H9
M088001,H9
M088002,H9
M088003,H9
M088004,H9
M088005,H9
M088006,H9
M088007,H9
M088008,H9
M088009,H9
M089000,H9
M089001,H9
M089002,H9
M089003,H9
M089004,H9
M089005,H9
M089006,H9
M089007,H9
M089008,H9
M089009,H9
M0801,H0+H9
M080010,H0
M080011,H0
M080012,H0
M080013,H0
M080014,H0
M080015,H0
M080016,H0
M080017,H0
M080018,H0
M080019,H0
M081010,H0
M081011,H0
M081012,H0
M081013,H0
M081014,H0
M081015,H0
M081016,H0
M081017,H0
M081018,H0
M081019,H0
M082010,H0
M082011,H0
M082012,H0
M082013,H0
M082014,H0
M082015,H0
M082016,H0
M082017,H0
M082018,H0
M082019,H0
M083010,H0
M083011,H0
M083012,H0
M083013,H0+H9
M083014,H0+H9
M083015,H0+H9
M083016,H0
M083017,H0
M083018,H0
M083019,H0
M084010,H0+H9
M084011,H0+H9
M084012,H0+H9
M084013,H0+H9
M084014,H0+H9
M084015,H0+H9
M084016,H0+H9
M084017,H0
M084018,H0
M084019,H0
M085010,H0+H9
M085011,H9
M085012,H9
M085013,H9
M085014,H9
M085015,H9
M085016,H0+H9
M085017,H0+H9
M085018,H0+H9
M085019,H0+H9
M086010,H9
M086011,H9
M086012,H9
M086013,H9
