O,H0+H19+H20+H21+H22+H31
O00,H20
O01,H19+H20+H21
O01SW,H20
O01NW,H19+H20
O01SE,H20
O01NE,H20+H21
O01A,H20
O01B,H20
O01C,H20
O01D,H19+H20
O0016,H20
O0017,H19+H20
O000170,H20
O000171,H20
O000172,H20
O000173,H20
O000174,H20
O000175,H19+H20
O000176,H19+H20
O000177,H19+H20
O000178,H19
O000179,H19
O001170,H20
O001171,H20
O001172,H20
O001173,H20
O001174,H20
O001175,H20
O001176,H20
O001177,H19+H20
O001178,H19+H20
O001179,H19
O002170,H20
O002171,H20
O002172,H20
O002173,H20
O002174,H20
O002175,H20
O002176,H20
O002177,H20
O002178,H19+H20
O002179,H19+H20
O003170,H20
O003171,H20
O003172,H20
O003173,H20
O003174,H20
O003175,H20
O003176,H20
O003177,H20
O003178,H20
O003179,H20
O004170,H20
O004171,H20
O004172,H20
O004173,H20
O004174,H20
O004175,H20
O004176,H20
O004177,H20
O004178,H20
O004179,H20
O005170,H20
O005171,H20
O005172,H20
O005173,H20
O005174,H20
O005175,H20
O005176,H20
O005177,H20
O005178,H20
O005179,H20
O006170,H20
O006171,H20
O006172,H20
O006173,H20
O006174,H20
O006175,H20
O006176,H20
O006177,H20
O006178,H20
O006179,H20
O007170,H20
O007171,H20
O007172,H20
O007173,H20
O007174,H20
O007175,H20
O007176,H20
O007177,H20
O007178,H20
O007179,H20
O008170,H20
O008171,H20
O008172,H20
O008173,H20
O008174,H20
O008175,H20
O008176,H20
O008177,H20
O008178,H20
O008179,H20
O009170,H20
O009171,H20
O009172,H20
O009173,H20
O009174,H20
O009175,H20
O009176,H20
O009177,H20
O009178,H20
O009179,H20
O0116,H20
O0117,H20
O01E,H19+H20
O0018,H19+H20
O000180,H19
O000181,H19
O000182,H19
O000183,H19+H20
O000184,H20
O000185,H20
O000186,H20
O000187,H20
O000188,H20
O000189,H20
O001180,H19+H20
O001181,H19
O001182,H19+H20
O001183,H19+H20
O001184,H20
O001185,H20
O001186,H20
O001187,H20
O001188,H20
O001189,H20
O002180,H19+H20
O002181,H19+H20
O002182,H19+H20
O002183,H20
O002184,H20
O002185,H20
O002186,H20
O002187,H20
O002188,H20
O002189,H20
O003180,H20
O003181,H20
O003182,H20
O003183,H20
O003184,H20
O003185,H20
O003186,H20
O003187,H20
O003188,H20
O003189,H20
O004180,H20
O004181,H20
O004182,H20
O004183,H20
O004184,H20
O004185,H20
O004186,H20
O004187,H20
O004188,H20
O004189,H20
O005180,H20
O005181,H20
O005182,H20
O005183,H20
O005184,H20
O005185,H20
O005186,H20
O005187,H20
O005188,H20
O005189,H20
O006180,H20
O006181,H20
O006182,H20
O006183,H20
O006184,H20
O006185,H20
O006186,H20
O006187,H20
O006188,H20
O006189,H20
O007180,H20
O007181,H20
O007182,H20
O007183,H20
O007184,H20
O007185,H20
O007186,H20
O007187,H20
O007188,H20
O007189,H20
O008180,H20
O008181,H20
O008182,H20
O008183,H20
O008184,H20
O008185,H20
O008186,H20
O008187,H20
O008188,H20
O008189,H20
O009180,H20
O009181,H20
O009182,H20
O009183,H20
O009184,H20
O009185,H20
O009186,H20
O009187,H20
O009188,H20
O009189,H20
O0019,H19+H20
O000190,H20
O000191,H20
O000192,H20
O000193,H19+H20
O000194,H19+H20
O000195,H19
O000196,H19
O000197,H19
O000198,H19
O000199,H19
O001190,H20
O001191,H20
O001192,H20
O001193,H20
O001194,H19+H20
O001195,H19+H20
O001196,H19
O001197,H19
O001198,H19
O001199,H19
O002190,H20
O002191,H20
O002192,H20
O002193,H20
O002194,H20
O002195,H19+H20
O002196,H19+H20
O002197,H19+H20
O002198,H19
O002199,H19
O003190,H20
O003191,H20
O003192,H20
O003193,H20
O003194,H20
O003195,H20
O003196,H20
O003197,H19+H20
O003198,H19+H20
O003199,H19+H20
O004190,H20
O004191,H20
O004192,H20
O004193,H20
O004194,H20
O004195,H20
O004196,H20
O004197,H20
O004198,H20
O004199,H20
O005190,H20
O005191,H20
O005192,H20
O005193,H20
O005194,H20
O005195,H20
O005196,H20
O005197,H20
O005198,H20
O005199,H20
O006190,H20
O006191,H20
O006192,H20
O006193,H20
O006194,H20
O006195,H20
O006196,H20
O006197,H20
O006198,H20
O006199,H20
O007190,H20
O007191,H20
O007192,H20
O007193,H20
O007194,H20
O007195,H20
O007196,H20
O007197,H20
O007198,H20
O007199,H20
O008190,H20
O008191,H20
O008192,H20
O008193,H20
O008194,H20
O008195,H20
O008196,H20
O008197,H20
O008198,H20
O008199,H20
O009190,H20
O009191,H20
O009192,H20
O009193,H20
O009194,H20
O009195,H20
O009196,H20
O009197,H20
O009198,H20
O009199,H20
O0118,H20
