Q,H0+H1+H2+H9
Q00,H0
Q01,H0
Q02,H0
Q03,H0
Q04,H0
Q05,H0
Q06,H0
Q07,H0
Q08,H0
Q09,H0
Q10,H0
Q11,H0
Q12,H0
Q13,H0
Q14,H0
Q15,H0
Q16,H0
Q17,H0
Q18,H0
Q19,H0
Q20,H0+H1
Q20SW,H0+H1
Q20NW,H0
Q20SE,H0+H1
Q20NE,H0
Q20A,H0
Q20B,H0
Q20C,H0
Q20D,H0
Q20E,H0
Q20F,H0+H1
Q2200,H0+H1
Q220000,H0
Q220001,H0
Q220002,H0
Q220003,H0
Q220004,H0
Q220005,H0
Q220006,H0
Q220007,H0
Q220008,H0
Q220009,H0
Q221000,H0
Q221001,H0
Q221002,H0
Q221003,H0
Q221004,H0
Q221005,H0
Q221006,H0
Q221007,H0
Q221008,H0
Q221009,H0
Q222000,H0
Q222001,H0+H1
Q222002,H0
Q222003,H0
Q222004,H0
Q222005,H0
Q222006,H0
Q222007,H0
Q222008,H0
Q222009,H0
Q223000,H0+H1
Q223001,H0+H1
Q223002,H0+H1
Q223003,H0
Q223004,H0
Q223005,H0
Q223006,H0
Q223007,H0
Q223008,H0
Q223009,H0
Q224000,H0+H1
Q224001,H0+H1
Q224002,H0+H1
Q224003,H0
Q224004,H0
Q224005,H0
Q224006,H0
Q224007,H0
Q224008,H0
Q224009,H0
Q225000,H0
Q225001,H0+H1
Q225002,H0+H1
Q225003,H0
Q225004,H0
Q225005,H0
Q225006,H0
Q225007,H0
Q225008,H0
Q225009,H0
Q226000,H0
Q226001,H0+H1
Q226002,H0+H1
Q226003,H0+H1
Q226004,H0
Q226005,H0
Q226006,H0
Q226007,H0
Q226008,H0
Q226009,H0
Q227000,H0
Q227001,H0+H1
Q227002,H0+H1
Q227003,H0+H1
Q227004,H0+H1
Q227005,H0+H1
Q227006,H0
Q227007,H0
Q227008,H0
Q227009,H0
Q228000,H0
Q228001,H0+H1
Q228002,H0+H1
Q228003,H1
Q228004,H0+H1
Q228005,H0+H1
Q228006,H0+H1
Q228007,H0
Q228008,H0
Q228009,H0
Q229000,H0+H1
Q229001,H0+H1
Q229002,H0+H1
Q229003,H1
Q229004,H1
Q229005,H1
Q229006,H0+H1
Q229007,H0+H1
Q229008,H0
Q229009,H0
Q2201,H0
Q2300,H0+H1
Q230000,H0+H1
Q230001,H0+H1
Q230002,H0+H1
Q230003,H1
Q230004,H1
Q230005,H1
Q230006,H1
Q230007,H0+H1
Q230008,H0
Q230009,H0
Q231000,H0+H1
Q231001,H1
Q231002,H1
Q231003,H1
Q231004,H1
Q231005,H1
Q231006,H1
Q231007,H0+H1
Q231008,H0
Q231009,H0+H1
Q232000,H0+H1
Q232001,H1
Q232002,H1
Q232003,H1
Q232004,H1
Q232005,H1
Q232006,H1
Q232007,H0+H1
Q232008,H0+H1
Q232009,H0+H1
Q233000,H0+H1
Q233001,H1
Q233002,H1
Q233003,H1
Q233004,H1
Q233005,H1
Q233006,H1
Q233007,H1
Q233008,H1
Q233009,H0+H1
Q234000,H0+H1
Q234001,H0+H1
Q234002,H1
Q234003,H1
Q234004,H1
Q234005,H1
Q234006,H1
Q234007,H1
Q234008,H1
Q234009,H0+H1
Q235000,H0
Q235001,H0+H1
Q235002,H0+H1
Q235003,H0+H1
Q235004,H1
Q235005,H1
Q235006,H1
Q235007,H1
Q235008,H1
