S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S00,H6+H7
S00SW,H6
S00NW,H6+H7
S00SE,H6
S00NE,H6+H7
S00A,H6
S00B,H6
S00C,H6+H7
S0004,H6
S0005,H6+H7
S000050,H6
S000051,H6
S000052,H6
S000053,H6
S000054,H6
S000055,H6
S000056,H6+H7
S000057,H6+H7
S000058,H7
S000059,H7
S001050,H6
S001051,H6
S001052,H6
S001053,H6
S001054,H6
S001055,H6
S001056,H6
S001057,H6+H7
S001058,H7
S001059,H7
S002050,H6
S002051,H6
S002052,H6
S002053,H6
S002054,H6
S002055,H6
S002056,H6
S002057,H6+H7
S002058,H6+H7
S002059,H7
S003050,H6
S003051,H6
S003052,H6
S003053,H6
S003054,H6
S003055,H6
S003056,H6
S003057,H6
S003058,H6+H7
S003059,H7
S004050,H6
S004051,H6
S004052,H6
S004053,H6
S004054,H6
S004055,H6
S004056,H6
S004057,H6
S004058,H6+H7
S004059,H6+H7
S005050,H6
S005051,H6
S005052,H6
S005053,H6
S005054,H6
S005055,H6
S005056,H6
S005057,H6
S005058,H6
S005059,H6
S006050,H6
S006051,H6
S006052,H6
S006053,H6
S006054,H6
S006055,H6
S006056,H6
S006057,H6
S006058,H6
S006059,H6
S007050,H6
S007051,H6
S007052,H6
S007053,H6
S007054,H6
S007055,H6
S007056,H6
S007057,H6
S007058,H6
S007059,H6
S008050,H6
S008051,H6
S008052,H6
S008053,H6
S008054,H6
S008055,H6
S008056,H6
S008057,H6
S008058,H6
S008059,H6
S009050,H6
S009051,H6
S009052,H6
S009053,H6
S009054,H6
S009055,H6
S009056,H6
S009057,H6
S009058,H6
S009059,H6
S0104,H6
S0105,H6
S00D,H6+H7
S0006,H6+H7
S000060,H7
S000061,H7
S000062,H7
S000063,H7
S000064,H7
S000065,H7
S000066,H7
S000067,H7
S000068,H7
S000069,H7
S001060,H7
S001061,H7
S001062,H7
S001063,H7
S001064,H7
S001065,H7
S001066,H7
S001067,H7
S001068,H7
S001069,H7
S002060,H7
S002061,H7
S002062,H7
S002063,H7
S002064,H7
S002065,H7
S002066,H7
S002067,H7
S002068,H7
S002069,H7
S003060,H7
S003061,H7
S003062,H7
S003063,H7
S003064,H7
S003065,H7
S003066,H7
S003067,H7
S003068,H7
S003069,H7
S004060,H6+H7
S004061,H7
S004062,H7
S004063,H7
S004064,H7
S004065,H7
S004066,H7
S004067,H7
S004068,H7
S004069,H7
S005060,H6+H7
S005061,H6+H7
S005062,H7
S005063,H7
S005064,H7
S005065,H7
S005066,H7
S005067,H6+H7
S005068,H6+H7
S005069,H6+H7
S006060,H6
S006061,H6+H7
S006062,H6+H7
S006063,H7
S006064,H6+H7
S006065,H6+H7
S006066,H6+H7
S006067,H6+H7
S006068,H6
S006069,H6
S007060,H6
S007061,H6
S007062,H6+H7
S007063,H6+H7
S007064,H6+H7
S007065,H6+H7
S007066,H6+H7
S007067,H6
S007068,H6
S007069,H6
S008060,H6
S008061,H6
S008062,H6
S008063,H6
S008064,H6
S008065,H6
S008066,H6
S008067,H6
S008068,H6
S008069,H6
S009060,H6
S009061,H6
S009062,H6
S009063,H6
S009064,H6
S009065,H6
S009066,H6
S009067,H6
S009068,H6
S009069,H6
S0007,H6+H7
S000070,H7
S000071,H7
S000072,H7
S000073,H7
S000074,H7
S000075,H7
S000076,H7
S000077,H7
S000078,H7
S000079,H7
S001070,H7
S001071,H7
S001072,H7
S001073,H7
S001074,H7
S001075,H7
S001076,H7
S001077,H7
S001078,H7
S001079,H7
S002070,H7
S002071,H7
S002072,H7
S002073,H7
S002074,H7
S002075,H7
S002076,H7
S002077,H7
S002078,H7
S002079,H7
S003070,H7
S003071,H7
S003072,H7
S003073,H6+H7
S003074,H6+H7
S003075,H7
S003076,H7
S003077,H6+H7
S003078,H6+H7
S003079,H6+H7
S004070,H6+H7
S004071,H6+H7
S004072,H6+H7
S004073,H6+H7
S004074,H6+H7
S004075,H6+H7
S004076,H6+H7
S004077,H6+H7
S004078,H6+H7
S004079,H6
S005070,H6+H7
S005071,H6
S005072,H6
S005073,H6
S005074,H6
S005075,H6
S005076,H6
S005077,H6
S005078,H6
S005079,H6
S006070,H6
S006071,H6
S006072,H6
S006073,H6
S006074,H6
S006075,H6
S006076,H6
S006077,H6
S006078,H6
S006079,H6
S007070,H6
S007071,H6
S007072,H6
S007073,H6
S007074,H6
S007075,H6
S007076,H6
S007077,H6
S007078,H6
S007079,H6
S008070,H6
S008071,H6
S008072,H6
S008073,H6
S008074,H6
S008075,H6
S008076,H6
S008077,H6
S008078,H6
S008079,H6
S009070,H6
S009071,H6
S009072,H6
S009073,H6
S009074,H6
S009075,H6
S009076,H6
S009077,H6
S009078,H6
S009079,H6
S0106,H6
S0107,H6
S00E,H6+H7
S0008,H6+H7
S000080,H7
S000081,H7
S000082,H7
S000083,H7
S000084,H7
S000085,H7
S000086,H7
S000087,H7
S000088,H7
S000089,H7
S001080,H7
S001081,H7
S001082,H7
S001083,H7
S001084,H7
S001085,H7
S001086,H7
S001087,H7
S001088,H7
S001089,H7
S002080,H6+H7
S002081,H6+H7
S002082,H7
S002083,H7
S002084,H7
S002085,H7
S002086,H7
S002087,H7
S002088,H7
S002089,H7
S003080,H6+H7
S003081,H6+H7
S003082,H6+H7
S003083,H7
S003084,H7
S003085,H7
S003086,H7
S003087,H7
S003088,H7
S003089,H7
S004080,H6
S004081,H6
S004082,H6+H7
S004083,H6+H7
S004084,H7
S004085,H7
S004086,H7
S004087,H7
S004088,H7
S004089,H7
S005080,H6
S005081,H6
S005082,H6
S005083,H6+H7
S005084,H6+H7
S005085,H6+H7
S005086,H6+H7
S005087,H6+H7
S005088,H7
S005089,H7
S006080,H6
S006081,H6
S006082,H6
S006083,H6
S006084,H6
S006085,H6
S006086,H6
S006087,H6+H7
S006088,H6+H7
S006089,H6+H7
S007080,H6
S007081,H6
S007082,H6
S007083,H6
S007084,H6
S007085,H6
S007086,H6
S007087,H6
S007088,H6
S007089,H6
S008080,H6
S008081,H6
S008082,H6
S008083,H6
S008084,H6
S008085,H6
S008086,H6
S008087,H6
S008088,H6
S008089,H6
S009080,H6
S009081,H6
S009082,H6
S009083,H6
S009084,H6
S009085,H6
S009086,H6
S009087,H6
S009088,H6
S009089,H6
S0009,H6+H7
S000090,H7
S000091,H7
S000092,H7
S000093,H7
S000094,H7
S000095,H7
S000096,H7
S000097,H7
S000098,H7
S000099,H7
S001090,H7
S001091,H7
S001092,H7
S001093,H7
S001094,H7
S001095,H7
S001096,H7
S001097,H7
S001098,H7
S001099,H7
S002090,H7
S002091,H7
S002092,H7
S002093,H7
S002094,H7
S002095,H7
S002096,H7
S002097,H7
S002098,H7
S002099,H7
S003090,H7
S003091,H7
S003092,H7
S003093,H7
S003094,H7
S003095,H7
S003096,H7
S003097,H7
S003098,H7
S003099,H7
S004090,H7
S004091,H7
S004092,H7
S004093,H7
S004094,H7
S004095,H7
S004096,H7
S004097,H7
S004098,H7
S004099,H7
S005090,H7
S005091,H7
S005092,H7
S005093,H7
S005094,H7
S005095,H6+H7
S005096,H6+H7
S005097,H6+H7
S005098,H7
S005099,H7
S006090,H6+H7
S006091,H6+H7
S006092,H6+H7
S006093,H6+H7
S006094,H6+H7
S006095,H6+H7
S006096,H6
S006097,H6+H7
S006098,H6+H7
S006099,H6+H7
S007090,H6
S007091,H6
S007092,H6+H7
S007093,H6+H7
S007094,H6
S007095,H6
S007096,H6
S007097,H6
S007098,H6
S007099,H6
S008090,H6
S008091,H6
S008092,H6
S008093,H6
S008094,H6
S008095,H6
S008096,H6
S008097,H6
S008098,H6
S008099,H6
S009090,H6
S009091,H6
S009092,H6
S009093,H6
S009094,H6
S009095,H6
S009096,H6
S009097,H6
S009098,H6
S009099,H6
S0108,H6
S0109,H6+H7
S010090,H6
S010091,H6
S010092,H6
S010093,H6
S010094,H6
S010095,H6
S010096,H6
S010097,H6
S010098,H6
S010099,H6+H7
S011090,H6
S011091,H6
S011092,H6
S011093,H6
S011094,H6
S011095,H6
S011096,H6
S011097,H6+H7
S011098,H6+H7
S011099,H6+H7
S012090,H6
S012091,H6
S012092,H6
S012093,H6
S012094,H6
S012095,H6+H7
S012096,H6+H7
S012097,H6+H7
S012098,H7
S012099,H7
S013090,H6
S013091,H6
S013092,H6
S013093,H6
S013094,H6
S013095,H6+H7
S013096,H7
S013097,H7
S013098,H7
S013099,H7
S014090,H6
S014091,H6
S014092,H6
S014093,H6
S014094,H6
S014095,H6+H7
S014096,H7
S014097,H7
S014098,H7
S014099,H7
S015090,H6
S015091,H6
S015092,H6
S015093,H6
S015094,H6
S015095,H6+H7
S015096,H7
S015097,H7
S015098,H7
S015099,H7
S016090,H6
S016091,H6
S016092,H6
S016093,H6
S016094,H6
S016095,H6+H7
S016096,H7
S016097,H7
S016098,H7
S016099,H7
S017090,H6
S017091,H6
S017092,H6
S017093,H6
S017094,H6
S017095,H6+H7
S017096,H6+H7
S017097,H7
S017098,H7
S017099,H7
S018090,H6
S018091,H6
S018092,H6
S018093,H6
S018094,H6
S018095,H6
S018096,H6+H7
S018097,H6+H7
S018098,H6+H7
S018099,H6+H7
S019090,H6
S019091,H6
S019092,H6
S019093,H6
S019094,H6
S019095,H6
S019096,H6
S019097,H6
S019098,H6
S019099,H6
S00F,H6
S00G,H6
S00H,H6
S00I,H6
S00J,H6+H7
S0208,H6
S0209,H6+H7
S020090,H6
S020091,H6
S020092,H6
S020093,H6
S020094,H6
S020095,H6
S020096,H6
S020097,H6
S020098,H6
S020099,H6
S021090,H6
S021091,H6
S021092,H6
S021093,H6
S021094,H6
S021095,H6
S021096,H6
S021097,H6
S021098,H6
S021099,H6
