T,H0+H12+H13+H20
T00,H0+H12
T00SW,H0+H12
T00NW,H0+H12
T00SE,H0+H12
T00NE,H0+H12
T00A,H0
T00B,H0
T00C,H0+H12
T0004,H0+H12
T000040,H0
T000041,H0
T000042,H0
T000043,H0
T000044,H0
T000045,H0
T000046,H0+H12
T000047,H0+H12
T000048,H12
T000049,H12
T001040,H0
T001041,H0
T001042,H0
T001043,H0
T001044,H0
T001045,H0
T001046,H0
T001047,H0+H12
T001048,H12
T001049,H12
T002040,H0
T002041,H0
T002042,H0
T002043,H0
T002044,H0
T002045,H0
T002046,H0
T002047,H0+H12
T002048,H12
T002049,H12
T003040,H0
T003041,H0
T003042,H0
T003043,H0
T003044,H0
T003045,H0
T003046,H0
T003047,H0+H12
T003048,H12
T003049,H12
T004040,H0
T004041,H0
T004042,H0
T004043,H0
T004044,H0
T004045,H0
T004046,H0
T004047,H0+H12
T004048,H12
T004049,H12
T005040,H0
T005041,H0
T005042,H0
T005043,H0
T005044,H0
T005045,H0
T005046,H0
T005047,H0+H12
T005048,H0+H12
T005049,H12
T006040,H0
T006041,H0
T006042,H0
T006043,H0
T006044,H0
T006045,H0
T006046,H0
T006047,H0
T006048,H0+H12
T006049,H12
T007040,H0
T007041,H0
T007042,H0
T007043,H0
T007044,H0
T007045,H0
T007046,H0
T007047,H0
T007048,H0+H12
T007049,H12
T008040,H0
T008041,H0
T008042,H0
T008043,H0
T008044,H0
T008045,H0
T008046,H0
T008047,H0
T008048,H0+H12
T008049,H12
T009040,H0
T009041,H0
T009042,H0
T009043,H0
T009044,H0
T009045,H0
T009046,H0
T009047,H0
T009048,H0+H12
T009049,H12
T0005,H12
T0104,H0+H12
T010040,H0
T010041,H0
T010042,H0
T010043,H0
T010044,H0
T010045,H0
T010046,H0
T010047,H0
T010048,H0+H12
T010049,H12
T011040,H0
T011041,H0
T011042,H0
T011043,H0
T011044,H0
T011045,H0
T011046,H0
T011047,H0
T011048,H0+H12
T011049,H12
T012040,H0
T012041,H0
T012042,H0
T012043,H0
T012044,H0
T012045,H0
T012046,H0
T012047,H0
T012048,H0+H12
T012049,H12
T013040,H0
T013041,H0
T013042,H0
T013043,H0
T013044,H0
T013045,H0
T013046,H0
T013047,H0
T013048,H0+H12
T013049,H12
T014040,H0
T014041,H0
T014042,H0
T014043,H0
T014044,H0
T014045,H0
T014046,H0
T014047,H0
T014048,H0+H12
T014049,H12
T015040,H0
T015041,H0
T015042,H0
T015043,H0
T015044,H0
T015045,H0
T015046,H0
T015047,H0
T015048,H0+H12
T015049,H12
T016040,H0
T016041,H0
T016042,H0
T016043,H0
T016044,H0
T016045,H0
T016046,H0
T016047,H0
T016048,H0+H12
T016049,H12
T017040,H0
T017041,H0
T017042,H0
T017043,H0
T017044,H0
T017045,H0
T017046,H0
T017047,H0
T017048,H0+H12
T017049,H0+H12
T018040,H0
T018041,H0
T018042,H0
T018043,H0
T018044,H0
T018045,H0
T018046,H0
T018047,H0
T018048,H0
T018049,H0+H12
T019040,H0
T019041,H0
T019042,H0
T019043,H0
T019044,H0
T019045,H0
T019046,H0
T019047,H0
T019048,H0
T019049,H0+H12
T0105,H12
T00D,H12
T00E,H12
T00F,H0
T00G,H0
T00H,H0+H12
T0204,H0+H12
T020040,H0
T020041,H0
T020042,H0
T020043,H0
T020044,H0
T020045,H0
T020046,H0
T020047,H0
T020048,H0
T020049,H0+H12
T021040,H0
T021041,H0
T021042,H0
T021043,H0
T021044,H0
T021045,H0
T021046,H0
T021047,H0
T021048,H0
T021049,H0+H12
T022040,H0
T022041,H0
T022042,H0
T022043,H0
T022044,H0
T022045,H0
T022046,H0
T022047,H0
T022048,H0
T022049,H0
T023040,H0
T023041,H0
T023042,H0
T023043,H0
T023044,H0
T023045,H0
T023046,H0
T023047,H0
T023048,H0
T023049,H0
T024040,H0
T024041,H0
T024042,H0
T024043,H0
T024044,H0
T024045,H0
T024046,H0
T024047,H0
T024048,H0
T024049,H0
T025040,H0
T025041,H0
T025042,H0
T025043,H0
T025044,H0
T025045,H0
T025046,H0
T025047,H0
T025048,H0
T025049,H0
T026040,H0
T026041,H0
T026042,H0
T026043,H0
T026044,H0
T026045,H0
T026046,H0
T026047,H0
T026048,H0
T026049,H0
T027040,H0
T027041,H0
T027042,H0
T027043,H0
T027044,H0
T027045,H0
T027046,H0
T027047,H0
T027048,H0
T027049,H0
T028040,H0
T028041,H0
T028042,H0
T028043,H0
T028044,H0
T028045,H0
T028046,H0
T028047,H0
T028048,H0
T028049,H0
T029040,H0
T029041,H0
T029042,H0
T029043,H0
T029044,H0
T029045,H0
T029046,H0
T029047,H0
T029048,H0
T029049,H0
T0205,H0+H12
T020050,H12
T020051,H12
T020052,H12
T020053,H12
T020054,H12
T020055,H12
T020056,H12
T020057,H12
T020058,H12
T020059,H12
T021050,H0+H12
T021051,H12
T021052,H12
T021053,H12
T021054,H12
T021055,H12
T021056,H12
T021057,H12
T021058,H12
T021059,H12
T022050,H0+H12
T022051,H12
T022052,H12
T022053,H12
T022054,H12
T022055,H12
T022056,H12
T022057,H12
T022058,H12
T022059,H12
T023050,H0+H12
T023051,H0+H12
T023052,H12
T023053,H12
T023054,H12
T023055,H12
T023056,H12
T023057,H12
T023058,H12
T023059,H12
T024050,H0
T024051,H0+H12
T024052,H12
T024053,H12
T024054,H12
T024055,H12
T024056,H12
T024057,H12
T024058,H12
T024059,H12
T025050,H0
T025051,H0+H12
T025052,H12
T025053,H12
T025054,H12
T025055,H12
T025056,H12
T025057,H12
T025058,H12
T025059,H12
T026050,H0
T026051,H0+H12
T026052,H0+H12
T026053,H12
T026054,H12
T026055,H12
T026056,H12
T026057,H12
T026058,H12
T026059,H12
T027050,H0
T027051,H0
T027052,H0+H12
T027053,H12
T027054,H12
T027055,H12
T027056,H12
T027057,H12
T027058,H12
T027059,H12
T028050,H0
T028051,H0
T028052,H0+H12
T028053,H12
T028054,H12
T028055,H12
T028056,H12
T028057,H12
T028058,H12
T028059,H12
T029050,H0
T029051,H0
T029052,H0+H12
T029053,H0+H12
T029054,H12
T029055,H12
T029056,H12
T029057,H12
T029058,H12
T029059,H12
T0304,H0
T0305,H0+H12
