V,H0+H1+H2+H3+H5
V00,H0
V01,H0
V02,H0
V03,H0
V04,H0
V05,H0
V06,H0
V07,H0
V08,H0
V09,H0
V10,H0
V11,H0
V12,H0
V13,H0
V14,H0
V15,H0
V16,H0
V17,H0
V18,H0+H1
V18SW,H0
V18NW,H0
V18SE,H0
V18NE,H0+H1
V18A,H0
V18B,H0
V18C,H0
V18D,H0
V18E,H0
V18F,H0
V18G,H0
V18H,H0
V18I,H0
V18J,H0
V18K,H0
V18L,H0
V18M,H0
V18N,H0
V18P,H0+H1
V1488,H0
V1489,H0
V1588,H0
V1589,H0+H1
V150890,H0
V150891,H0
V150892,H0
V150893,H0
V150894,H0
V150895,H0
V150896,H0
V150897,H0
V150898,H0
V150899,H0
V151890,H0
V151891,H0
V151892,H0
V151893,H0
V151894,H0
V151895,H0
V151896,H0
V151897,H0
V151898,H0
V151899,H0
V152890,H0
V152891,H0
V152892,H0
V152893,H0
V152894,H0
V152895,H0
V152896,H0
V152897,H0
V152898,H0
V152899,H0
V153890,H0
V153891,H0
V153892,H0
V153893,H0
V153894,H0
V153895,H0
V153896,H0
V153897,H0
V153898,H0
V153899,H0
V154890,H0
V154891,H0+H1
V154892,H0
V154893,H0
V154894,H0
V154895,H0
V154896,H0
V154897,H0
V154898,H0
V154899,H0
V155890,H0
V155891,H0+H1
V155892,H0
V155893,H0
V155894,H0
V155895,H0
V155896,H0
V155897,H0
V155898,H0
V155899,H0
V156890,H0
V156891,H0
V156892,H0
V156893,H0
V156894,H0
V156895,H0
V156896,H0
V156897,H0
V156898,H0
V156899,H0
V157890,H0
V157891,H0
V157892,H0
V157893,H0
V157894,H0
V157895,H0
V157896,H0
V157897,H0
V157898,H0
V157899,H0
V158890,H0
V158891,H0
V158892,H0
V158893,H0
V158894,H0
V158895,H0
V158896,H0
V158897,H0
V158898,H0
V158899,H0
V159890,H0
V159891,H0
V159892,H0
V159893,H0
V159894,H0
V159895,H0
V159896,H0
V159897,H0
V159898,H0
V159899,H0
V18Q,H0
V18R,H0
V18S,H0
V18T,H0
V18U,H0
V18V,H0
V18W,H0
V18X,H0
V18Y,H0
V18Z,H0
V19,H0+H1
V19SW,H0
V19NW,H0
V19SE,H0+H1
V19NE,H0+H1
V19A,H0
V19B,H0
V19C,H0
V19D,H0
V19E,H0
V19F,H0
V19G,H0
V19H,H0
V19I,H0
V19J,H0
V19K,H0
V19L,H0
V19M,H0
V19N,H0
V19P,H0
V19Q,H0
V19R,H0
V19S,H0+H1
V1694,H0
V1695,H0
V1794,H0+H1
V170940,H0
V170941,H0
V170942,H0
V170943,H0
V170944,H0
V170945,H0+H1
V170946,H0+H1
V170947,H0+H1
V170948,H0
V170949,H0
V171940,H0
V171941,H0
V171942,H0
V171943,H0
V171944,H0
V171945,H0+H1
V171946,H1
V171947,H0+H1
V171948,H0+H1
V171949,H0
V172940,H0
V172941,H0
V172942,H0
V172943,H0
V172944,H0
V172945,H0+H1
V172946,H0+H1
V172947,H0+H1
V172948,H0+H1
V172949,H0
V173940,H0
V173941,H0
V173942,H0
V173943,H0
V173944,H0
V173945,H0
V173946,H0+H1
V173947,H0+H1
V173948,H0
V173949,H0
V174940,H0
V174941,H0
V174942,H0
V174943,H0
V174944,H0
V174945,H0
V174946,H0+H1
V174947,H0+H1
V174948,H0
V174949,H0
V175940,H0
V175941,H0
V175942,H0
V175943,H0
V175944,H0
V175945,H0
V175946,H0+H1
V175947,H0+H1
V175948,H0+H1
V175949,H0+H1
V176940,H0
V176941,H0
