X,H0+H5+H6+H12
X00,H0
X01,H0
X02,H0
X03,H0
X04,H0
X05,H0
X06,H0+H5
X06SW,H0+H5
X06NW,H0+H5
X06SE,H0
X06NE,H0+H5
X06A,H0
X06B,H0+H5
X0062,H0
X0063,H0+H5
X000630,H0
X000631,H0
X000632,H0
X000633,H0
X000634,H0
X000635,H0
X000636,H0+H5
X000637,H0+H5
X000638,H0+H5
X000639,H0+H5
X001630,H0
X001631,H0
X001632,H0
X001633,H0
X001634,H0
X001635,H0
X001636,H0
X001637,H0
X001638,H0+H5
X001639,H0
X002630,H0
X002631,H0
X002632,H0
X002633,H0
X002634,H0
X002635,H0
X002636,H0+H5
X002637,H0+H5
X002638,H0+H5
X002639,H0
X003630,H0
X003631,H0
X003632,H0
X003633,H0
X003634,H0+H5
X003635,H0+H5
X003636,H0+H5
X003637,H5
X003638,H0+H5
X003639,H0
X004630,H0
X004631,H0
X004632,H0
X004633,H0
X004634,H0+H5
X004635,H0+H5
X004636,H0+H5
X004637,H0+H5
X004638,H0+H5
X004639,H0
X005630,H0
X005631,H0
X005632,H0
X005633,H0
X005634,H0
X005635,H0
X005636,H0+H5
X005637,H0+H5
X005638,H0+H5
X005639,H0
X006630,H0
X006631,H0
X006632,H0
X006633,H0
X006634,H0
X006635,H0
X006636,H0
X006637,H0
X006638,H0
X006639,H0
X007630,H0
X007631,H0
X007632,H0
X007633,H0
X007634,H0
X007635,H0
X007636,H0
X007637,H0
X007638,H0
X007639,H0
X008630,H0
X008631,H0
X008632,H0
X008633,H0
X008634,H0
X008635,H0
X008636,H0
X008637,H0
X008638,H0
X008639,H0
X009630,H0
X009631,H0
X009632,H0
X009633,H0
X009634,H0
X009635,H0
X009636,H0+H5
X009637,H0+H5
X009638,H0
X009639,H0
X0162,H0
X0163,H0+H5
X010630,H0
X010631,H0
X010632,H0
X010633,H0
X010634,H0
X010635,H0+H5
X010636,H0+H5
X010637,H0+H5
X010638,H0+H5
X010639,H0
X011630,H0
X011631,H0
X011632,H0
X011633,H0
X011634,H0
X011635,H0+H5
X011636,H5
X011637,H0+H5
X011638,H0
X011639,H0
X012630,H0
X012631,H0
X012632,H0
X012633,H0
X012634,H0
X012635,H0+H5
X012636,H0+H5
X012637,H0+H5
X012638,H0
X012639,H0
X013630,H0
X013631,H0
X013632,H0
X013633,H0
X013634,H0
X013635,H0
X013636,H0
X013637,H0
X013638,H0
X013639,H0
X014630,H0
X014631,H0
X014632,H0
X014633,H0
X014634,H0
X014635,H0
X014636,H0
X014637,H0
X014638,H0
X014639,H0
X015630,H0
X015631,H0
X015632,H0
X015633,H0
X015634,H0
X015635,H0
X015636,H0
X015637,H0
X015638,H0
X015639,H0
X016630,H0
X016631,H0
X016632,H0
X016633,H0
X016634,H0
X016635,H0
X016636,H0
X016637,H0
X016638,H0
X016639,H0
X017630,H0
X017631,H0
X017632,H0
X017633,H0
X017634,H0
X017635,H0
X017636,H0
X017637,H0
X017638,H0
X017639,H0
X018630,H0
X018631,H0
X018632,H0
X018633,H0
X018634,H0
X018635,H0
X018636,H0
X018637,H0
X018638,H0
X018639,H0
X019630,H0
X019631,H0
X019632,H0
X019633,H0
X019634,H0
X019635,H0
X019636,H0
X019637,H0
X019638,H0
X019639,H0
X06C,H0
X06D,H0+H5
X0066,H0
X0067,H0+H5
X000670,H0
X000671,H0
X000672,H0
X000673,H0+H5
X000674,H0+H5
X000675,H5
X000676,H5
X000677,H5
X000678,H5
X000679,H5
X001670,H0
X001671,H0
X001672,H0
X001673,H0
X001674,H0+H5
X001675,H5
X001676,H5
X001677,H5
X001678,H5
X001679,H5
X002670,H0
X002671,H0
X002672,H0
X002673,H0
X002674,H0+H5
X002675,H0+H5
X002676,H5
X002677,H5
X002678,H5
X002679,H5
X003670,H0
X003671,H0
X003672,H0
X003673,H0
X003674,H0
X003675,H0+H5
X003676,H0+H5
X003677,H5
X003678,H5
X003679,H5
X004670,H0
X004671,H0
X004672,H0
X004673,H0
X004674,H0
X004675,H0
X004676,H0+H5
X004677,H5
X004678,H5
X004679,H5
X005670,H0
X005671,H0
X005672,H0
X005673,H0
X005674,H0
X005675,H0
X005676,H0+H5
X005677,H0+H5
X005678,H5
X005679,H5
X006670,H0
X006671,H0
X006672,H0
X006673,H0
X006674,H0
X006675,H0
X006676,H0
X006677,H0+H5
X006678,H5
X006679,H5
X007670,H0
X007671,H0
X007672,H0
X007673,H0
X007674,H0
X007675,H0
X007676,H0
X007677,H0+H5
X007678,H5
X007679,H5
X008670,H0
X008671,H0
X008672,H0
X008673,H0
X008674,H0
X008675,H0
X008676,H0
X008677,H0+H5
X008678,H0+H5
X008679,H5
X009670,H0
X009671,H0
X009672,H0
X009673,H0
X009674,H0
X009675,H0
X009676,H0
X009677,H0
X009678,H0+H5
X009679,H5
X0166,H0
X0167,H0+H5
X010670,H0
X010671,H0
X010672,H0
X010673,H0
X010674,H0
X010675,H0
X010676,H0
X010677,H0
X010678,H0+H5
X010679,H0+H5
X011670,H0
X011671,H0
X011672,H0
X011673,H0
X011674,H0
X011675,H0
X011676,H0
X011677,H0
X011678,H0
X011679,H0+H5
X012670,H0
X012671,H0
X012672,H0
X012673,H0
X012674,H0
X012675,H0
X012676,H0
X012677,H0
X012678,H0
X012679,H0+H5
X013670,H0
X013671,H0
X013672,H0
X013673,H0
X013674,H0
X013675,H0
X013676,H0
X013677,H0
X013678,H0
X013679,H0
X014670,H0
X014671,H0
X014672,H0
X014673,H0
X014674,H0
X014675,H0
X014676,H0
X014677,H0
X014678,H0
X014679,H0
X015670,H0
X015671,H0
X015672,H0
X015673,H0
X015674,H0
X015675,H0
X015676,H0
X015677,H0
X015678,H0
X015679,H0
X016670,H0
X016671,H0
X016672,H0
X016673,H0
X016674,H0
X016675,H0
X016676,H0
X016677,H0
X016678,H0
X016679,H0
X017670,H0
X017671,H0
X017672,H0
X017673,H0
X017674,H0
X017675,H0
X017676,H0
X017677,H0
X017678,H0
X017679,H0
X018670,H0
X018671,H0
X018672,H0
X018673,H0
X018674,H0
X018675,H0
X018676,H0
X018677,H0
X018678,H0
X018679,H0
X019670,H0
X019671,H0
X019672,H0
X019673,H0
X019674,H0
X019675,H0
X019676,H0
X019677,H0
X019678,H0
X019679,H0
X06E,H0+H5
X0068,H5
X0069,H5
X0168,H0+H5
X010680,H5
X010681,H5
X010682,H5
X010683,H5
X010684,H5
X010685,H5
X010686,H5
X010687,H5
X010688,H5
X010689,H5
X011680,H5
X011681,H5
X011682,H5
X011683,H5
X011684,H5
X011685,H5
X011686,H5
X011687,H5
X011688,H5
X011689,H5
X012680,H0+H5
X012681,H5
X012682,H5
X012683,H5
X012684,H5
X012685,H5
X012686,H5
X012687,H5
X012688,H5
X012689,H5
X013680,H0+H5
X013681,H5
X013682,H5
X013683,H5
X013684,H5
X013685,H5
X013686,H5
X013687,H5
X013688,H5
X013689,H5
X014680,H0+H5
X014681,H0+H5
X014682,H5
X014683,H5
X014684,H5
X014685,H5
X014686,H5
X014687,H5
X014688,H5
X014689,H5
X015680,H0
X015681,H0+H5
X015682,H5
X015683,H5
X015684,H5
X015685,H5
X015686,H5
X015687,H5
X015688,H5
X015689,H5
X016680,H0
X016681,H0+H5
X016682,H0+H5
X016683,H5
X016684,H5
X016685,H5
X016686,H5
X016687,H5
X016688,H5
X016689,H5
X017680,H0
X017681,H0+H5
X017682,H0+H5
X017683,H5
X017684,H5
X017685,H5
X017686,H5
X017687,H5
X017688,H5
X017689,H5
X018680,H0
X018681,H0
X018682,H0+H5
X018683,H5
X018684,H5
X018685,H5
X018686,H5
X018687,H5
X018688,H5
X018689,H5
X019680,H0
X019681,H0
X019682,H0+H5
X019683,H0+H5
X019684,H5
X019685,H5
X019686,H5
X019687,H5
X019688,H5
X019689,H5
X0169,H5
X06F,H0
X06G,H0
X06H,H0
X06I,H0
X06J,H0+H5
X0268,H0+H5
X020680,H0
X020681,H0
X020682,H0
X020683,H0+H5
X020684,H5
X020685,H5
X020686,H5
X020687,H5
X020688,H5
X020689,H5
X021680,H0
X021681,H0
X021682,H0
X021683,H0+H5
X021684,H0+H5
X021685,H5
X021686,H5
X021687,H5
X021688,H5
X021689,H5
X022680,H0
X022681,H0
X022682,H0
X022683,H0
X022684,H0+H5
X022685,H5
X022686,H5
X022687,H5
X022688,H5
X022689,H5
X023680,H0
X023681,H0
X023682,H0
X023683,H0
X023684,H0+H5
X023685,H5
X023686,H5
X023687,H5
X023688,H5
X023689,H5
X024680,H0
X024681,H0
X024682,H0
X024683,H0
X024684,H0+H5
X024685,H0+H5
X024686,H5
X024687,H5
X024688,H5
X024689,H5
X025680,H0
X025681,H0
X025682,H0
X025683,H0
X025684,H0
X025685,H0+H5
X025686,H5
X025687,H5
X025688,H5
X025689,H5
X026680,H0
X026681,H0
X026682,H0
X026683,H0
X026684,H0+H5
X026685,H0+H5
X026686,H5
X026687,H5
X026688,H5
X026689,H5
X027680,H0
X027681,H0
X027682,H0
X027683,H0
X027684,H0+H5
X027685,H5
X027686,H5
X027687,H5
X027688,H5
X027689,H5
X028680,H0
X028681,H0
X028682,H0
X028683,H0
X028684,H0+H5
X028685,H5
X028686,H5
X028687,H5
X028688,H5
X028689,H5
X029680,H0
X029681,H0
X029682,H0
X029683,H0
X029684,H0+H5
X029685,H5
X029686,H5
X029687,H5
X029688,H5
X029689,H5
X0269,H5
X0368,H0+H5
X030680,H0
X030681,H0
X030682,H0
X030683,H0
X030684,H0+H5
X030685,H5
X030686,H5
X030687,H5
X030688,H5
X030689,H5
X031680,H0
X031681,H0
X031682,H0
X031683,H0
X031684,H0+H5
X031685,H0+H5
X031686,H5
X031687,H5
X031688,H5
X031689,H5
X032680,H0
X032681,H0
X032682,H0
X032683,H0
X032684,H0
X032685,H0+H5
X032686,H5
X032687,H5
X032688,H5
X032689,H5
X033680,H0
X033681,H0
X033682,H0
X033683,H0
X033684,H0
X033685,H0+H5
X033686,H5
X033687,H5
X033688,H5
X033689,H5
X034680,H0
X034681,H0
X034682,H0
X034683,H0
X034684,H0
X034685,H0+H5
X034686,H5
X034687,H5
X034688,H5
X034689,H5
X035680,H0
X035681,H0
X035682,H0
X035683,H0
X035684,H0
X035685,H0+H5
X035686,H5
X035687,H5
X035688,H5
X035689,H5
X036680,H0
X036681,H0
X036682,H0
X036683,H0
X036684,H0
X036685,H0+H5
X036686,H5
X036687,H5
X036688,H5
X036689,H5
X037680,H0
X037681,H0
X037682,H0
X037683,H0
X037684,H0
X037685,H0+H5
X037686,H5
X037687,H5
X037688,H5
X037689,H5
X038680,H0
X038681,H0
X038682,H0
X038683,H0
X038684,H0
X038685,H0+H5
X038686,H5
X038687,H5
X038688,H5
X038689,H5
X039680,H0
X039681,H0
X039682,H0
X039683,H0
X039684,H0
X039685,H0+H5
X039686,H5
X039687,H5
X039688,H5
X039689,H5
X0369,H5
X06K,H0
X06L,H0
X06M,H0
X06N,H0
X06P,H0+H5
X0468,H0+H5
X040680,H0
X040681,H0
X040682,H0
X040683,H0
X040684,H0
X040685,H0+H5
X040686,H0+H5
X040687,H5
X040688,H5
X040689,H5
X041680,H0
X041681,H0
X041682,H0
X041683,H0
X041684,H0
X041685,H0+H5
X041686,H5
X041687,H5
X041688,H5
X041689,H5
X042680,H0
X042681,H0
X042682,H0
X042683,H0
X042684,H0
X042685,H0+H5
X042686,H0+H5
X042687,H5
X042688,H5
X042689,H5
X043680,H0
X043681,H0
X043682,H0
X043683,H0
X043684,H0
X043685,H0
X043686,H0+H5
X043687,H5
X043688,H5
X043689,H5
X044680,H0
X044681,H0
X044682,H0
X044683,H0
X044684,H0
X044685,H0
X044686,H0+H5
X044687,H5
X044688,H5
X044689,H5
X045680,H0
X045681,H0
X045682,H0
X045683,H0
X045684,H0
X045685,H0
X045686,H0+H5
X045687,H0+H5
X045688,H5
X045689,H5
X046680,H0
X046681,H0
X046682,H0
X046683,H0
X046684,H0
X046685,H0
X046686,H0
X046687,H0+H5
X046688,H5
X046689,H5
X047680,H0
X047681,H0
X047682,H0
X047683,H0
X047684,H0
X047685,H0
X047686,H0
X047687,H0+H5
X047688,H5
X047689,H5
X048680,H0
X048681,H0
X048682,H0
X048683,H0
X048684,H0
X048685,H0
X048686,H0
X048687,H0+H5
X048688,H0+H5
X048689,H5
X049680,H0
X049681,H0
X049682,H0
X049683,H0
X049684,H0
X049685,H0
X049686,H0
X049687,H0
X049688,H0+H5
X049689,H5
X0469,H5
X0568,H0+H5
X050680,H0
X050681,H0
X050682,H0
X050683,H0
X050684,H0
X050685,H0
X050686,H0
X050687,H0
X050688,H0+H5
X050689,H5
X051680,H0
X051681,H0
X051682,H0
X051683,H0
X051684,H0
X051685,H0
X051686,H0
X051687,H0
X051688,H0+H5
X051689,H5
X052680,H0
X052681,H0
X052682,H0
X052683,H0
X052684,H0
X052685,H0
X052686,H0
X052687,H0
X052688,H0+H5
X052689,H5
X053680,H0
X053681,H0
X053682,H0
X053683,H0
X053684,H0
X053685,H0
X053686,H0
X053687,H0
X053688,H0+H5
X053689,H5
X054680,H0
X054681,H0
X054682,H0
X054683,H0
X054684,H0
X054685,H0
X054686,H0
X054687,H0
X054688,H0+H5
X054689,H5
X055680,H0
X055681,H0
X055682,H0
X055683,H0
X055684,H0
X055685,H0
X055686,H0
X055687,H0
X055688,H0+H5
X055689,H0+H5
X056680,H0
X056681,H0
X056682,H0
X056683,H0
X056684,H0
X056685,H0
X056686,H0
X056687,H0
X056688,H0+H5
X056689,H0+H5
X057680,H0
X057681,H0
X057682,H0
X057683,H0
X057684,H0
X057685,H0
X057686,H0
X057687,H0
X057688,H0+H5
X057689,H5
X058680,H0
X058681,H0
X058682,H0
X058683,H0
X058684,H0
X058685,H0
X058686,H0
X058687,H0
X058688,H0+H5
X058689,H5
X059680,H0
X059681,H0
X059682,H0
X059683,H0
X059684,H0
X059685,H0
X059686,H0
X059687,H0
X059688,H0+H5
X059689,H0+H5
X0569,H5
X06Q,H0
X06R,H0
X06S,H0
X06T,H0
X06U,H0+H5
X0668,H0+H5
X060680,H0
X060681,H0
X060682,H0
X060683,H0
X060684,H0
X060685,H0
X060686,H0
X060687,H0
X060688,H0
X060689,H0+H5
X061680,H0
X061681,H0
X061682,H0
X061683,H0
X061684,H0
X061685,H0
X061686,H0
X061687,H0
X061688,H0
X061689,H0
X062680,H0
X062681,H0
X062682,H0
X062683,H0
X062684,H0
X062685,H0
X062686,H0
X062687,H0
X062688,H0
X062689,H0
X063680,H0
X063681,H0
X063682,H0
X063683,H0
X063684,H0
X063685,H0
X063686,H0
X063687,H0
X063688,H0
X063689,H0
X064680,H0
X064681,H0
X064682,H0
X064683,H0
X064684,H0
X064685,H0
X064686,H0
X064687,H0
X064688,H0
X064689,H0
X065680,H0
X065681,H0
X065682,H0
X065683,H0
X065684,H0
X065685,H0
X065686,H0
X065687,H0
X065688,H0
X065689,H0
X066680,H0
X066681,H0
X066682,H0
X066683,H0
X066684,H0
X066685,H0
X066686,H0
X066687,H0
X066688,H0
X066689,H0
X067680,H0
X067681,H0
X067682,H0
X067683,H0
X067684,H0
X067685,H0
X067686,H0
X067687,H0
X067688,H0
X067689,H0
X068680,H0
X068681,H0
X068682,H0
X068683,H0
X068684,H0
X068685,H0
X068686,H0
X068687,H0
X068688,H0
X068689,H0
X069680,H0
X069681,H0
X069682,H0
X069683,H0
X069684,H0
X069685,H0
X069686,H0
X069687,H0
X069688,H0
X069689,H0
X0669,H0+H5
X060690,H0+H5
X060691,H5
X060692,H5
X060693,H5
X060694,H5
X060695,H5
X060696,H5
X060697,H5
X060698,H5
X060699,H5
X061690,H0+H5
X061691,H5
X061692,H5
X061693,H5
X061694,H5
X061695,H5
X061696,H5
X061697,H5
X061698,H5
X061699,H5
X062690,H0+H5
X062691,H5
X062692,H5
X062693,H5
X062694,H5
X062695,H5
X062696,H5
X062697,H5
X062698,H5
X062699,H5
X063690,H0+H5
X063691,H5
X063692,H5
X063693,H5
X063694,H5
X063695,H5
X063696,H5
X063697,H5
X063698,H5
X063699,H5
X064690,H0+H5
X064691,H0+H5
X064692,H5
X064693,H5
X064694,H5
X064695,H5
X064696,H5
X064697,H5
X064698,H5
X064699,H5
X065690,H0+H5
X065691,H5
X065692,H5
X065693,H5
X065694,H5
X065695,H5
X065696,H5
X065697,H5
X065698,H5
X065699,H5
X066690,H0+H5
X066691,H0+H5
X066692,H5
X066693,H5
X066694,H5
X066695,H5
X066696,H5
X066697,H5
X066698,H5
X066699,H5
X067690,H0
X067691,H0+H5
X067692,H5
X067693,H5
X067694,H5
X067695,H5
X067696,H5
X067697,H5
X067698,H5
X067699,H5
X068690,H0
X068691,H0+H5
X068692,H5
X068693,H5
X068694,H5
X068695,H5
X068696,H5
X068697,H5
X068698,H5
X068699,H5
X069690,H0
X069691,H0+H5
X069692,H5
X069693,H5
X069694,H5
X069695,H5
X069696,H5
X069697,H5
X069698,H5
X069699,H5
X0768,H0
X0769,H0+H5
X070690,H0
X070691,H0+H5
X070692,H5
X070693,H5
X070694,H5
X070695,H5
X070696,H5
X070697,H5
X070698,H5
X070699,H5
X071690,H0
X071691,H0+H5
X071692,H0+H5
X071693,H0+H5
X071694,H5
X071695,H5
X071696,H5
X071697,H5
X071698,H5
X071699,H5
X072690,H0
X072691,H0
X072692,H0
X072693,H0+H5
X072694,H5
X072695,H5
X072696,H5
X072697,H5
X072698,H5
X072699,H5
X073690,H0
X073691,H0
X073692,H0
X073693,H0+H5
X073694,H0+H5
X073695,H5
X073696,H5
X073697,H5
X073698,H5
X073699,H5
X074690,H0
X074691,H0
X074692,H0
X074693,H0
X074694,H0+H5
X074695,H5
X074696,H5
X074697,H5
X074698,H5
X074699,H5
X075690,H0
X075691,H0
X075692,H0
X075693,H0
X075694,H0+H5
X075695,H5
X075696,H5
X075697,H5
X075698,H5
X075699,H5
X076690,H0
X076691,H0
X076692,H0
X076693,H0
X076694,H0+H5
X076695,H0+H5
X076696,H5
X076697,H5
X076698,H5
X076699,H5
X077690,H0
X077691,H0
X077692,H0
X077693,H0
X077694,H0+H5
X077695,H0+H5
X077696,H5
X077697,H5
X077698,H5
X077699,H5
X078690,H0
X078691,H0
X078692,H0
X078693,H0
X078694,H0+H5
X078695,H5
X078696,H5
X078697,H5
X078698,H5
X078699,H5
X079690,H0
X079691,H0
X079692,H0
X079693,H0
X079694,H0+H5
X079695,H5
X079696,H5
X079697,H5
X079698,H5
X079699,H5
X06V,H0
X06W,H0
X06X,H0
X06Y,H0
X06Z,H0+H5
X0868,H0
X0869,H0+H5
X080690,H0
X080691,H0
X080692,H0
X080693,H0
X080694,H0+H5
X080695,H0+H5
X080696,H5
X080697,H5
X080698,H5
X080699,H5
X081690,H0
X081691,H0
X081692,H0
X081693,H0+H5
X081694,H0+H5
X081695,H5
X081696,H5
X081697,H5
X081698,H5
X081699,H5
X082690,H0
X082691,H0
X082692,H0
X082693,H0+H5
X082694,H0+H5
X082695,H5
X082696,H5
X082697,H5
X082698,H5
X082699,H5
X083690,H0
X083691,H0
X083692,H0
X083693,H0
X083694,H0+H5
X083695,H5
X083696,H5
X083697,H5
X083698,H5
X083699,H5
X084690,H0
X084691,H0
X084692,H0
X084693,H0
X084694,H0+H5
X084695,H5
X084696,H5
X084697,H5
X084698,H5
X084699,H5
X085690,H0
X085691,H0
X085692,H0
X085693,H0
X085694,H0+H5
X085695,H5
X085696,H5
X085697,H5
X085698,H5
X085699,H5
X086690,H0
X086691,H0
X086692,H0
X086693,H0
X086694,H0+H5
X086695,H5
X086696,H5
X086697,H5
X086698,H5
X086699,H5
X087690,H0
X087691,H0
X087692,H0
X087693,H0
X087694,H0+H5
X087695,H5
X087696,H5
X087697,H5
