F,H0+H27
O,H0+H19+H20+H21+H22+H31
E,H0
Z,H0
T,H0+H12+H13+H20
L,H0+H9+H16+H27
J,H0+H31+H36+H37+H38+H39
C,H0+H34+H35+H36+H39+H40
N,H10+H14+H15+H18+H19+H20+H21+H22+H23+H24+H25+H29+H30+H31+H32
D,H0+H39
R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
V,H0+H1+H2+H3+H5
Q,H0+H1+H2+H9
M,H0+H9+H10+H15+H16+H17+H18+H24+H25+H26+H27+H28+H29
P,H0
H,H29+H30+H31+H32+H33+H34+H35+H36+H37+H39+H40
B,H0+H34+H35
W,H0+H1+H2+H3+H4+H5+H6
Y,H0
Z,H0
U,H0
A,H0
K,H0
S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
G,H0+H25+H26+H27+H28+H29+H30+H33+H34+H35
X,H0+H5+H6+H12
