N,H10+H14+H15+H18+H19+H20+H21+H22+H23+H24+H25+H29+H30+H31+H32
N00,H10+H18
N00SW,H10+H18
N00NW,H10+H18
N00SE,H10+H18
N00NE,H10+H18
N00A,H10
N00B,H10
N00C,H10
N00D,H10
N00E,H10+H18
N0008,H10
N0009,H10+H18
N000090,H10
N000091,H10
N000092,H10
N000093,H10
N000094,H10
N000095,H10
N000096,H10
N000097,H10+H18
N001090,H10
N001091,H10
N001092,H10
N001093,H10
N001094,H10
N001095,H10
N001096,H10
N001097,H10+H18
N002090,H10
N002091,H10
N002092,H10
N002093,H10
N002094,H10
N002095,H10
N002096,H10
N002097,H10+H18
N002098,H10+H18
N003090,H10
N003091,H10
N003092,H10
N003093,H10
N003094,H10
N003095,H10
N003096,H10
N003097,H10+H18
N003098,H10+H18
N004090,H10
N004091,H10
N004092,H10
N004093,H10
N004094,H10
N004095,H10
N004096,H10
N004097,H10+H18
N004098,H10+H18
N005090,H10
N005091,H10
N005092,H10
N005093,H10
N005094,H10
N005095,H10
N005096,H10
N005097,H10+H18
N005098,H10+H18
N006090,H10
N006091,H10
N006092,H10
N006093,H10
N006094,H10
N006095,H10
N006096,H10+H18
N006097,H10+H18
N007090,H10
N007091,H10
N007092,H10
N007093,H10
N007094,H10
N007095,H10
N007096,H10+H18
N008090,H10
N008091,H10
N008092,H10
N008093,H10
N008094,H10
N008095,H10+H18
N008096,H10+H18
N009090,H10
N009091,H10
N009092,H10
N009093,H10
N009094,H10
N009095,H10+H18
N0108,H10+H18
N010080,H10
N010081,H10
N010082,H10
N010083,H10
N010084,H10
N010085,H10
N010086,H10
N010087,H10
N010088,H10
N010089,H10
N011080,H10
N011081,H10
N011082,H10
N011083,H10
N011084,H10
N011085,H10
N011086,H10
N011087,H10
N011088,H10
N011089,H10
N012080,H10
N012081,H10
N012082,H10
N012083,H10
N012084,H10
N012085,H10
N012086,H10
N012087,H10
N012088,H10
N012089,H10
N013080,H10
N013081,H10
N013082,H10
N013083,H10
N013084,H10
N013085,H10
N013086,H10
N013087,H10
N013088,H10
N013089,H10
N014080,H10
N014081,H10
N014082,H10
N014083,H10
N014084,H10
N014085,H10
N014086,H10
N014087,H10
N014088,H10
N014089,H10
N015080,H10
N015081,H10
N015082,H10
N015083,H10
N015084,H10
N015085,H10
N015086,H10
N015087,H10
N015088,H10
N015089,H10
N016080,H10
N016081,H10
N016082,H10
N016083,H10
N016084,H10
N016085,H10
N016086,H10
N016087,H10
N016088,H10
N016089,H10
N017080,H10
N017081,H10
N017082,H10
N017083,H10
N017084,H10
N017085,H10
N017086,H10+H18
N017087,H10+H18
N017088,H10+H18
N017089,H10+H18
N018080,H10
N018081,H10
N018082,H10
N018083,H10
N018084,H10
N018085,H10
N018086,H10+H18
N018088,H10+H18
N018089,H10+H18
N019080,H10
N019081,H10
N019082,H10
N019083,H10
N019084,H10
N019085,H10
N019086,H10+H18
N0109,H10+H18
N010090,H10
N010091,H10
N010092,H10
N010093,H10
N010094,H10+H18
N010095,H10+H18
N011090,H10
N011091,H10
N011092,H10
N011093,H10+H18
N011094,H10+H18
N012090,H10
N012091,H10
N012092,H10
N012093,H10+H18
N013090,H10
N013091,H10
N013092,H10
N013093,H10+H18
N014090,H10
N014091,H10
N014092,H10+H18
N014093,H10+H18
N015090,H10
N015091,H10
N015092,H10+H18
N016090,H10+H18
N016091,H10+H18
N016092,H10+H18
N017090,H10+H18
N00F,H10
N00G,H10
N00H,H10
N00I,H10+H18
N0206,H10
N0207,H10
N0306,H10
N0307,H10+H18
N030070,H10
N030071,H10
N030072,H10
N030073,H10
N030074,H10
N030075,H10
N030076,H10
N030077,H10
N030078,H10
N030079,H10
N031070,H10
N031071,H10
N031072,H10
N031073,H10
N031074,H10
N031075,H10
N031076,H10
N031077,H10
N031078,H10
N031079,H10
N032070,H10
N032071,H10
N032072,H10
N032073,H10
N032074,H10
N032075,H10
N032076,H10
N032077,H10
N032078,H10
N032079,H10+H18
N033070,H10
N033071,H10
N033072,H10
N033073,H10
N033074,H10
N033075,H10
N033076,H10
N033077,H10
N033078,H10+H18
N033079,H10+H18
N034070,H10
N034071,H10
N034072,H10
N034073,H10
N034074,H10
N034075,H10
N034076,H10
N034077,H10
N034078,H10+H18
N034079,H10+H18
N035070,H10
N035071,H10
N035072,H10
N035073,H10
N035074,H10
N035075,H10
N035076,H10
N035077,H10+H18
N035078,H10+H18
N035079,H10+H18
N036070,H10
N036071,H10
N036072,H10
N036073,H10
N036074,H10
N036075,H10
N036076,H10+H18
N036077,H10+H18
N037070,H10
N037071,H10
N037072,H10
N037073,H10
N037074,H10
N037075,H10
N037076,H10+H18
N038070,H10
N038071,H10
N038072,H10
N038073,H10
N038074,H10
N038075,H10+H18
N038076,H10+H18
N039070,H10
N039071,H10
N039072,H10
N039073,H10
N039074,H10+H18
N039075,H10+H18
N00J,H10+H18
N0208,H10+H18
N020080,H10
N020081,H10
N020082,H10
N020083,H10
N020084,H10
N020085,H10+H18
N020086,H10+H18
N021080,H10
N021081,H10
N021082,H10
N021083,H10
N021084,H10
N021085,H10+H18
N021086,H10+H18
N022080,H10
N022081,H10
N022082,H10
N022083,H10
N022084,H10+H18
N022085,H10+H18
N022086,H10+H18
N023080,H10
N023081,H10
N023082,H10
N023083,H10+H18
N023084,H10+H18
N023085,H10+H18
N024080,H10
N024081,H10
N024082,H10
N024083,H10+H18
N025080,H10
N025081,H10
N025082,H10
N025083,H10+H18
N026080,H10
N026081,H10
N026082,H10
N026083,H10+H18
N027080,H10
N027081,H10
N027082,H10
N027083,H10+H18
N028080,H10
N028081,H10
N028082,H10
N028083,H10+H18
N029080,H10
N029081,H10
N029082,H10+H18
N029083,H10+H18
N0308,H10+H18
N030080,H10
N030081,H10+H18
N030082,H10+H18
N031080,H10+H18
N031081,H10+H18
N032080,H10+H18
N00K,H10+H18
N0400,H10+H18
N040000,H10
N040001,H10
N040002,H10
N040003,H10
N040004,H10
N040005,H10
N040006,H10
N040007,H10
N040008,H10
N040009,H10
N041000,H10+H18
N041001,H10+H18
N041002,H10
N041003,H10
N041004,H10
N041005,H10
N041006,H10
N041007,H10
N041008,H10
N041009,H10
N042001,H10+H18
N042002,H10+H18
N042003,H10
N042004,H10
N042005,H10
N042006,H10
N042007,H10
N042008,H10
N042009,H10
N043002,H10+H18
N043003,H10+H18
N043004,H10+H18
N043005,H10
N043006,H10
N043007,H10
N043008,H10
N043009,H10
N044004,H10+H18
N044005,H10+H18
N044006,H10+H18
N044007,H10+H18
N044008,H10+H18
N044009,H10+H18
N0401,H10+H18
N040010,H10
N040011,H10
N040012,H10
N040013,H10
N040014,H10
N040015,H10
N040016,H10
N040017,H10
N040018,H10
N040019,H10
N041010,H10
N041011,H10
N041012,H10
N041013,H10
N041014,H10
N041015,H10
N041016,H10
N041017,H10
N041018,H10
N041019,H10
N042010,H10
N042011,H10
N042012,H10
N042013,H10
N042014,H10
N042015,H10
N042016,H10
N042017,H10
N042018,H10
N042019,H10
N043010,H10
N043011,H10
N043012,H10
N043013,H10
N043014,H10
N043015,H10
N043016,H10
N043017,H10
N043018,H10
N043019,H10
N044010,H10+H18
N044011,H10+H18
N044012,H10
N044013,H10
N044014,H10
N044015,H10
N044016,H10
N044017,H10
N044018,H10
N044019,H10
N045011,H10+H18
N045012,H10
N045013,H10
N045014,H10
N045015,H10
N045016,H10
N045017,H10
N045018,H10
N045019,H10
N046011,H10+H18
N046012,H10+H18
N046013,H10+H18
N046014,H10
N046015,H10
N046016,H10
N046017,H10
N046018,H10
N046019,H10
N047013,H10+H18
N047014,H10+H18
N047015,H10
N047016,H10
N047017,H10
N047018,H10
N047019,H10
N048014,H10+H18
N048015,H10+H18
N048016,H10+H18
N048017,H10
N048018,H10
N048019,H10
N049016,H10+H18
N049017,H10+H18
N049018,H10+H18
N049019,H10+H18
N00L,H10+H18
N0402,H10+H18
N040020,H10
N040021,H10
N040022,H10
N040023,H10
N040024,H10
N040025,H10
N040026,H10
N040027,H10
N040028,H10
N040029,H10
N041020,H10
N041021,H10
N041022,H10
N041023,H10
N041024,H10
N041025,H10
N041026,H10
N041027,H10
N041028,H10
N041029,H10
N042020,H10
N042021,H10
N042022,H10
N042023,H10
N042024,H10
N042025,H10
N042026,H10
N042027,H10
N042028,H10
N042029,H10
N043020,H10
N043021,H10
N043022,H10
N043023,H10
N043024,H10
N043025,H10
N043026,H10
N043027,H10
N043028,H10
N043029,H10
N044020,H10
N044021,H10
N044022,H10
N044023,H10
N044024,H10
N044025,H10
N044026,H10
N044027,H10
N044028,H10
N044029,H10
N045020,H10
N045021,H10
N045022,H10
N045023,H10
N045024,H10
N045025,H10
N045026,H10
