S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S26,H7+H11
S26SW,H7+H11
S26NW,H7+H11
S26SE,H7+H11
S26NE,H11
S26H,H7+H11
S2364,H7+H11
S238645,H7+H11
S238646,H7+H11
S238647,H7+H11
S238648,H7+H11
S239645,H7+H11
S239646,H11
S239647,H11
S239648,H7+H11
S239649,H7+H11
S2365,H7+H11
S234659,H7+H11
S235657,H7+H11
S235658,H7+H11
S235659,H7+H11
S236655,H7+H11
S236656,H7+H11
S236657,H7+H11
S236658,H11
S236659,H11
S237652,H7+H11
S237653,H7+H11
S237654,H7+H11
S237655,H7+H11
S237656,H11
S237657,H11
S237658,H11
S237659,H11
S238650,H7+H11
S238651,H7+H11
S238652,H7+H11
S238653,H11
S238654,H11
S238655,H11
S238656,H11
S238657,H11
S238658,H11
S238659,H11
S239650,H7+H11
S239651,H11
S239652,H11
S239653,H11
S239654,H11
S239655,H11
S239656,H11
S239657,H11
S239658,H11
S239659,H11
S26I,H7+H11
S2266,H7+H11
S224669,H7+H11
S225668,H7+H11
S225669,H7+H11
S226667,H7+H11
S226668,H7+H11
S226669,H11
S227666,H7+H11
S227667,H7+H11
S227668,H11
S227669,H11
S228666,H7+H11
S228667,H11
S228668,H11
S228669,H11
S229665,H7+H11
S229666,H7+H11
S229667,H11
S229668,H11
S229669,H11
S2267,H7+H11
S223670,H7+H11
S223671,H7+H11
S223672,H7+H11
S223673,H7+H11
S223674,H7+H11
S223675,H7+H11
S223676,H7+H11
S224670,H7+H11
S224671,H11
S224672,H11
S224673,H11
S224674,H11
S224675,H11
S224676,H7+H11
S224677,H7+H11
S224678,H7+H11
S224679,H7+H11
S225670,H11
S225671,H11
S225672,H11
S225673,H11
S225674,H11
S225675,H11
S225676,H11
S225677,H7+H11
S225678,H7+H11
S225679,H11
S226670,H11
S226671,H11
S226672,H11
S226673,H11
S226674,H11
S226675,H11
S226676,H11
S226677,H11
S226678,H11
S226679,H11
S227670,H11
S227671,H11
S227672,H11
S227673,H11
S227674,H11
S227675,H11
S227676,H11
S227677,H11
S227678,H11
S227679,H11
S228670,H11
S228671,H11
S228672,H11
S228673,H11
S228674,H11
S228675,H11
S228676,H11
S228677,H11
S228678,H11
S228679,H11
S229670,H11
S229671,H11
S229672,H11
S229673,H11
S229674,H11
S229675,H11
S229676,H11
S229677,H11
S229678,H11
S229679,H11
S2366,H7+H11
S230664,H7+H11
S230665,H7+H11
S230666,H11
S230667,H11
S230668,H11
S230669,H11
S231663,H7+H11
S231664,H7+H11
S231665,H11
S231666,H11
S231667,H11
S231668,H11
S231669,H11
S232663,H7+H11
S232664,H11
