T,H0+H12+H13+H20
T08,H13+H20
T08SW,H13+H20
T08A,H13+H20
T0080,H13+H20
T000804,H13+H20
T000805,H13+H20
T000806,H13
T000807,H13
T000808,H13
T000809,H13
T001804,H13+H20
T001805,H13+H20
T001806,H13
T001807,H13
T001808,H13
T001809,H13
T002805,H13+H20
T002806,H13+H20
T002807,H13
T002808,H13
T002809,H13
T003806,H13+H20
T003807,H13
T003808,H13
T003809,H13
T004805,H13+H20
T004806,H13+H20
T004807,H13
T004808,H13
T004809,H13+H20
T005806,H13+H20
T005807,H13+H20
T005808,H13+H20
T005809,H13+H20
T0081,H13+H20
T000810,H13
T000811,H13
T000812,H13
T000813,H13
T000814,H13
T000815,H13
T000816,H13
T000817,H13
T000818,H13
T000819,H13
T001810,H13
T001811,H13
T001812,H13
T001813,H13
T001814,H13
T001815,H13
T001816,H13
T001817,H13
T001818,H13
T001819,H13
T002810,H13
T002811,H13
T002812,H13
T002813,H13
T002814,H13
T002815,H13
T002816,H13
T002817,H13
T002818,H13
T002819,H13
T003810,H13
T003811,H13
T003812,H13
T003813,H13
T003814,H13
T003815,H13
T003816,H13
T003817,H13
T003818,H13
T003819,H13
T004810,H13+H20
T004811,H13+H20
T004812,H13+H20
T004813,H13+H20
T004814,H13
T004815,H13
T004816,H13
T004817,H13
T004818,H13
T004819,H13
T005813,H13+H20
T005814,H13+H20
T005815,H13+H20
T005816,H13
T005817,H13
T005818,H13+H20
T005819,H13+H20
T006815,H13+H20
T006816,H13+H20
T006817,H13+H20
T006818,H13+H20
T007817,H13+H20
T08B,H13+H20
T0082,H13+H20
T000820,H13
T000821,H13
T000822,H13+H20
T001820,H13
T001821,H13+H20
T001822,H13+H20
T002820,H13
T002821,H13+H20
T003820,H13+H20
T003821,H13+H20
T004820,H13+H20
T005820,H13+H20
S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S65,H11+H13
S65SE,H11+H13
S65NE,H11+H13
S65U,H11+H13
S6758,H11+H13
S679589,H11+H13
S6759,H11+H13
S672597,H11+H13
S673596,H11+H13
S673597,H11+H13
S673598,H11+H13
S674596,H11+H13
S674597,H13
S674598,H11+H13
S674599,H11+H13
S675595,H11+H13
S675596,H11+H13
S675597,H13
S675598,H13
S675599,H11+H13
S676595,H11+H13
S676596,H13
S676597,H13
S676598,H13
S676599,H13
S677594,H11+H13
S677595,H11+H13
S677596,H13
S677597,H13
S677598,H13
S677599,H13
S678590,H11+H13
S678591,H11+H13
S678593,H11+H13
S678594,H11+H13
S678595,H13
S678596,H13
S678597,H13
S678598,H13
S678599,H13
S679590,H11+H13
S679591,H11+H13
S679592,H11+H13
S679593,H11+H13
S679594,H13
S679595,H13
S679596,H13
S679597,H13
S679598,H13
S679599,H13
S65V,H11+H13
S6950,H11+H13
S697508,H11+H13
S697509,H11+H13
S698507,H11+H13
S698508,H11+H13
S698509,H13
S699506,H11+H13
S699507,H11+H13
S699508,H13
S699509,H13
S6951,H11+H13
S690519,H11+H13
S691518,H11+H13
S691519,H11+H13
S692517,H11+H13
S692518,H11+H13
S692519,H13
S693516,H11+H13
S693517,H11+H13
S693518,H13
S693519,H13
S694516,H11+H13
S694517,H13
S694518,H13
S694519,H13
S695515,H11+H13
S695516,H11+H13
S695517,H13
S695518,H13
S695519,H13
S696513,H11+H13
S696514,H11+H13
S696515,H11+H13
S696516,H13
S696517,H13
S696518,H13
S696519,H13
S697510,H11+H13
S697511,H11+H13
S697512,H11+H13
S697513,H11+H13
S697514,H13
S697515,H13
S697516,H13
S697517,H13
S697518,H13
S697519,H13
S698510,H13
S698511,H13
S698512,H13
S698513,H13
S698514,H13
S698515,H13
S698516,H13
S698517,H13
S698518,H13
S698519,H13
S699510,H13
S699511,H13
S699512,H13
S699513,H13
S699514,H13
S699515,H13
S699516,H13
S699517,H13
S699518,H13
S699519,H13
S65W,H11+H13
S6852,H11+H13
S687523,H11+H13
S687524,H11+H13
S687525,H11+H13
S687526,H11+H13
S688521,H11+H13
S688522,H11+H13
S688523,H11+H13
S688524,H13
S688525,H13
S688526,H11+H13
S688527,H11+H13
S689520,H11+H13
S689521,H11+H13
S689522,H13
S689523,H13
S689524,H13
S689525,H13
S689526,H13
S689527,H11+H13
S689528,H11+H13
S6853,H11+H13
S683537,H11+H13
S683538,H11+H13
S683539,H11+H13
S684535,H11+H13
S684536,H11+H13
S684537,H11+H13
S684538,H13
S684539,H13
S685535,H11+H13
S685536,H13
S685537,H13
S685538,H13
S685539,H13
S686534,H11+H13
S686535,H11+H13
S686536,H13
S686537,H13
S686538,H13
S686539,H13
S687534,H11+H13
S687535,H13
S687536,H13
S687537,H13
S687538,H13
S687539,H13
S688533,H11+H13
S688534,H11+H13
S688535,H13
S688536,H13
S688537,H13
S688538,H13
S688539,H13
S689533,H11+H13
S689534,H13
S689535,H13
S689536,H13
S689537,H13
S689538,H13
S689539,H13
S6952,H11+H13
S690520,H11+H13
S690521,H13
S690522,H13
S690523,H13
S690524,H13
S690525,H13
S690526,H13
S690527,H13
S690528,H11+H13
S690529,H11+H13
S691520,H13
S691521,H13
S691522,H13
S691523,H13
S691524,H13
S691525,H13
S691526,H13
S691527,H13
S691528,H13
S691529,H13
S692520,H13
S692521,H13
S692522,H13
S692523,H13
S692524,H13
S692525,H13
S692526,H13
S692527,H13
S692528,H13
S692529,H13
S693520,H13
S693521,H13
S693522,H13
S693523,H13
S693524,H13
S693525,H13
S693526,H13
S693527,H13
S693528,H13
S693529,H13
S694520,H13
S694521,H13
S694522,H13
S694523,H13
S694524,H13
S694525,H13
S694526,H13
S694527,H13
S694528,H13
S694529,H13
S695520,H13
S695521,H13
S695522,H13
S695523,H13
S695524,H13
S695525,H13
S695526,H13
S695527,H13
S695528,H13
S695529,H13
S696520,H13
S696521,H13
S696522,H13
S696523,H13
S696524,H13
S696525,H13
S696526,H13
S696527,H13
S696528,H13
S696529,H13
S697520,H13
S697521,H13
S697522,H13
S697523,H13
S697524,H13
S697525,H13
S697526,H13
S697527,H13
S697528,H13
S697529,H13
S698520,H13
S698521,H13
S698522,H13
S698523,H13
S698524,H13
S698525,H13
S698526,H13
S698527,H13
S698528,H13
S698529,H13
S699520,H13
S699521,H13
S699522,H13
S699523,H13
S699524,H13
S699525,H13
S699526,H13
S699527,H13
S699528,H13
S699529,H13
S6953,H11+H13
S690530,H11+H13
S690531,H11+H13
S690532,H11+H13
S690533,H11+H13
S690534,H13
S690535,H13
S690536,H13
S690537,H13
S690538,H13
S690539,H13
S691530,H11+H13
S691531,H11+H13
S691532,H13
S691533,H13
S691534,H13
S691535,H13
S691536,H13
S691537,H13
S691538,H13
S691539,H13
S692530,H13
S692531,H13
S692532,H13
S692533,H13
S692534,H13
S692535,H13
S692536,H13
S692537,H13
S692538,H13
S692539,H13
S693530,H13
S693531,H13
S693532,H13
S693533,H13
S693534,H13
S693535,H13
S693536,H13
S693537,H13
S693538,H13
S693539,H13
S694530,H13
S694531,H13
S694532,H13
S694533,H13
S694534,H13
S694535,H13
S694536,H13
S694537,H13
S694538,H13
S694539,H13
S695530,H13
S695531,H13
S695532,H13
S695533,H13
S695534,H13
S695535,H13
S695536,H13
S695537,H13
S695538,H13
S695539,H13
S696530,H13
S696531,H13
S696532,H13
S696533,H13
S696534,H13
S696535,H13
S696536,H13
S696537,H13
S696538,H13
S696539,H13
S697530,H13
S697531,H13
S697532,H13
S697533,H13
S697534,H13
S697535,H13
S697536,H13
S697537,H13
S697538,H13
S697539,H13
S698530,H13
S698531,H13
S698532,H13
S698533,H13
S698534,H13
S698535,H13
S698536,H13
S698537,H13
S698538,H13
S698539,H13
S699530,H13
S699531,H13
S699532,H13
S699533,H13
S699534,H13
S699535,H13
S699536,H13
S699537,H13
S699538,H13
S699539,H13
S65X,H11+H13
S6854,H11+H13
S683540,H11+H13
S683541,H11+H13
S683542,H11+H13
S684540,H13
S684541,H13
S684542,H11+H13
S684543,H11+H13
S684544,H11+H13
S684545,H11+H13
S684546,H11+H13
S685540,H13
S685541,H13
S685542,H13
S685543,H13
S685544,H13
S685545,H13
S685546,H11+H13
S685547,H11+H13
S685548,H11+H13
S686540,H13
S686541,H13
S686542,H13
S686543,H13
S686544,H13
S686545,H13
S686546,H13
S686547,H13
S686548,H11+H13
S686549,H11+H13
S687540,H13
S687541,H13
S687542,H13
S687543,H13
S687544,H13
S687545,H13
S687546,H13
S687547,H13
S687548,H13
S687549,H11+H13
S688540,H13
S688541,H13
S688542,H13
S688543,H13
S688544,H13
S688545,H13
S688546,H13
S688547,H13
S688548,H13
S688549,H13
S689540,H13
S689541,H13
S689542,H13
S689543,H13
S689544,H13
S689545,H13
S689546,H13
S689547,H13
S689548,H13
S689549,H13
S6855,H11+H13
S685555,H11+H13
S685556,H11+H13
S685557,H11+H13
S685558,H11+H13
S685559,H11+H13
S686552,H11+H13
S686553,H11+H13
S686554,H11+H13
S686555,H11+H13
S686556,H13
S686557,H13
S686558,H13
S686559,H13
S687550,H11+H13
S687551,H11+H13
S687552,H11+H13
S687553,H13
S687554,H13
S687555,H13
S687556,H13
S687557,H13
S687558,H13
S687559,H13
S688550,H13
S688551,H13
S688552,H13
S688553,H13
S688554,H13
S688555,H13
S688556,H13
S688557,H13
S688558,H13
S688559,H13
S689550,H13
S689551,H13
S689552,H13
S689553,H13
S689554,H13
S689555,H13
S689556,H13
S689557,H13
S689558,H13
S689559,H13
S6954,H13
S6955,H13
S65Y,H11+H13
S6856,H11+H13
S685560,H11+H13
S685561,H11+H13
S685562,H11+H13
S685563,H11+H13
S685564,H11+H13
S685565,H11+H13
S685566,H11+H13
S685567,H11+H13
S685568,H11+H13
S685569,H11+H13
S686560,H13
S686561,H13
S686562,H13
S686563,H13
S686564,H13
S686565,H13
S686566,H13
S686567,H13
S686568,H13
S686569,H13
S687560,H13
S687561,H13
S687562,H13
S687563,H13
S687564,H13
S687565,H13
S687566,H13
S687567,H13
S687568,H13
S687569,H13
S688560,H13
S688561,H13
S688562,H13
S688563,H13
S688564,H13
S688565,H13
S688566,H13
S688567,H13
S688568,H13
S688569,H13
S689560,H13
S689561,H13
S689562,H13
S689563,H13
S689564,H13
S689565,H13
S689566,H13
S689567,H13
S689568,H13
S689569,H13
S6857,H11+H13
S685570,H11+H13
S685571,H11+H13
S686570,H13
S686571,H11+H13
S686572,H11+H13
S686573,H11+H13
S686574,H11+H13
S687570,H13
S687571,H13
S687572,H13
S687573,H13
S687574,H11+H13
S687575,H11+H13
S688570,H13
S688571,H13
S688572,H13
S688573,H13
S688574,H13
S688575,H11+H13
S688576,H11+H13
S688577,H11+H13
S689570,H13
S689571,H13
S689572,H13
S689573,H13
S689574,H13
S689575,H13
S689576,H13
S689577,H11+H13
S689578,H11+H13
S6956,H13
S6957,H11+H13
S690570,H13
S690571,H13
S690572,H13
S690573,H13
S690574,H13
S690575,H13
S690576,H13
S690577,H13
S690578,H11+H13
S690579,H11+H13
S691570,H13
S691571,H13
S691572,H13
S691573,H13
S691574,H13
S691575,H13
S691576,H13
S691577,H13
S691578,H13
S691579,H13
S692570,H13
S692571,H13
S692572,H13
S692573,H13
S692574,H13
S692575,H13
S692576,H13
S692577,H13
S692578,H13
S692579,H13
S693570,H13
S693571,H13
S693572,H13
S693573,H13
S693574,H13
S693575,H13
S693576,H13
S693577,H13
S693578,H13
S693579,H13
S694570,H13
S694571,H13
S694572,H13
S694573,H13
S694574,H13
S694575,H13
S694576,H13
S694577,H13
S694578,H13
S694579,H13
S695570,H13
S695571,H13
S695572,H13
S695573,H13
S695574,H13
S695575,H13
S695576,H13
S695577,H13
S695578,H13
S695579,H13
S696570,H13
S696571,H13
S696572,H13
S696573,H13
S696574,H13
S696575,H13
S696576,H13
S696577,H13
S696578,H13
S696579,H13
S697570,H13
S697571,H13
S697572,H13
S697573,H13
S697574,H13
S697575,H13
S697576,H13
S697577,H13
S697578,H13
S697579,H13
S698570,H13
S698571,H13
S698572,H13
S698573,H13
S698574,H13
S698575,H13
S698576,H13
S698577,H13
S698578,H13
S698579,H13
S699570,H13
S699571,H13
S699572,H13
S699573,H13
S699574,H13
S699575,H13
S699576,H13
S699577,H13
S699578,H13
S699579,H13
S65Z,H11+H13
S6858,H11+H13
S680588,H11+H13
S680589,H11+H13
S681584,H11+H13
S681585,H11+H13
S681587,H11+H13
S681588,H11+H13
S681589,H13
S682584,H11+H13
S682585,H11+H13
S682586,H11+H13
S682587,H11+H13
S682588,H13
S682589,H13
S683583,H11+H13
S683584,H11+H13
S683585,H13
S683586,H13
S683587,H13
S683588,H13
S683589,H13
S684583,H11+H13
S684584,H13
S684585,H13
S684586,H13
S684587,H13
S684588,H13
S684589,H13
S685581,H11+H13
S685582,H11+H13
S685583,H11+H13
S685584,H13
S685585,H13
S685586,H13
S685587,H13
S685588,H13
S685589,H13
S686581,H11+H13
S686582,H13
S686583,H13
S686584,H13
S686585,H13
S686586,H13
S686587,H13
S686588,H13
S686589,H13
S687581,H11+H13
S687582,H13
S687583,H13
S687584,H13
S687585,H13
S687586,H13
S687587,H13
S687588,H13
S687589,H13
S688580,H11+H13
S688581,H11+H13
S688582,H13
S688583,H13
S688584,H13
S688585,H13
S688586,H13
S688587,H13
S688588,H13
S688589,H13
S689580,H11+H13
S689581,H13
S689582,H13
S689583,H13
S689584,H13
S689585,H13
S689586,H13
S689587,H13
S689588,H13
S689589,H13
S6859,H13
S6958,H11+H13
S690580,H11+H13
S690581,H13
S690582,H13
S690583,H13
S690584,H13
S690585,H13
S690586,H13
S690587,H13
S690588,H13
S690589,H13
S691580,H13
S691581,H13
S691582,H13
S691583,H13
S691584,H13
S691585,H13
S691586,H13
S691587,H13
S691588,H13
S691589,H13
S692580,H13
S692581,H13
S692582,H13
S692583,H13
S692584,H13
S692585,H13
S692586,H13
S692587,H13
S692588,H13
S692589,H13
S693580,H13
S693581,H13
S693582,H13
S693583,H13
S693584,H13
S693585,H13
S693586,H13
S693587,H13
S693588,H13
S693589,H13
S694580,H13
S694581,H13
S694582,H13
S694583,H13
S694584,H13
S694585,H13
S694586,H13
S694587,H13
S694588,H13
S694589,H13
S695580,H13
S695581,H13
S695582,H13
S695583,H13
S695584,H13
S695585,H13
S695586,H13
S695587,H13
S695588,H13
S695589,H13
S696580,H13
S696581,H13
S696582,H13
S696583,H13
S696584,H13
S696585,H13
S696586,H13
S696587,H13
S696588,H13
S696589,H13
S697580,H13
S697581,H13
S697582,H13
S697583,H13
S697584,H13
S697585,H13
S697586,H13
S697587,H13
S697588,H13
S697589,H13
S698580,H13
S698581,H13
S698582,H13
S698583,H13
S698584,H13
S698585,H13
S698586,H13
S698587,H13
S698588,H13
S698589,H13
S699580,H13
S699581,H13
S699582,H13
S699583,H13
S699584,H13
S699585,H13
S699586,H13
S699587,H13
S699588,H13
S699589,H13
S6959,H13
S66,H11+H13
S66SW,H11+H13
S66NW,H11+H13
S66SE,H11+H13
S66NE,H13
S66C,H11+H13
S6064,H11+H13
S603641,H11+H13
S603642,H11+H13
S603643,H11+H13
S604641,H11+H13
S604642,H13
S604643,H11+H13
S604644,H11+H13
S604645,H11+H13
S604646,H11+H13
S604647,H11+H13
S605641,H11+H13
S605642,H13
S605643,H13
S605644,H13
S605645,H13
S605646,H13
S605647,H11+H13
S605648,H11+H13
S606641,H11+H13
S606642,H13
S606643,H13
S606644,H13
S606645,H13
S606646,H13
S606647,H13
S606648,H11+H13
S607641,H11+H13
S607642,H13
S607643,H13
S607644,H13
S607645,H13
S607646,H13
S607647,H13
S607648,H11+H13
S607649,H11+H13
S608641,H11+H13
S608642,H13
S608643,H13
S608644,H13
S608645,H13
S608646,H13
S608647,H13
S608648,H13
S608649,H11+H13
S609641,H11+H13
S609642,H13
S609643,H13
S609644,H13
S609645,H13
S609646,H13
S609647,H13
S609648,H11+H13
S609649,H11+H13
S6065,H11+H13
S607659,H11+H13
S608657,H11+H13
S608658,H11+H13
S608659,H11+H13
S609656,H11+H13
S609657,H11+H13
S609658,H13
S609659,H13
S6164,H11+H13
S610641,H11+H13
S610642,H13
S610643,H13
S610644,H13
S610645,H13
S610646,H13
S610647,H13
S610648,H11+H13
S611641,H11+H13
S611642,H13
S611643,H13
S611644,H13
S611645,H13
S611646,H13
S611647,H13
S611648,H11+H13
S612641,H11+H13
S612642,H13
S612643,H13
S612644,H13
S612645,H13
S612646,H13
S612647,H13
S612648,H11+H13
S613641,H11+H13
S613642,H13
S613643,H13
S613644,H13
S613645,H13
S613646,H13
S613647,H13
S613648,H11+H13
S613649,H11+H13
S614641,H11+H13
S614642,H13
S614643,H13
S614644,H13
S614645,H13
S614646,H13
S614647,H13
S614648,H13
S614649,H11+H13
S615641,H11+H13
S615642,H13
S615643,H13
S615644,H13
S615645,H13
S615646,H13
S615647,H13
S615648,H13
S615649,H13
S616641,H11+H13
S616642,H13
S616643,H13
S616644,H13
S616645,H13
S616646,H13
S616647,H13
S616648,H13
S616649,H13
S617641,H11+H13
S617642,H11+H13
S617643,H13
S617644,H13
S617645,H13
S617646,H13
S617647,H13
S617648,H13
S617649,H13
S618642,H11+H13
S618643,H13
S618644,H13
S618645,H13
S618646,H13
S618647,H13
S618648,H13
S618649,H13
S619642,H11+H13
S619643,H13
S619644,H13
S619645,H13
S619646,H13
S619647,H13
S619648,H13
S619649,H13
S6165,H11+H13
S610655,H11+H13
S610656,H11+H13
S610657,H13
S610658,H13
S610659,H13
S611655,H11+H13
S611656,H11+H13
S611657,H13
S611658,H13
S611659,H13
S612655,H11+H13
S612656,H11+H13
S612657,H13
S612658,H13
S612659,H13
S613654,H11+H13
S613655,H11+H13
S613656,H13
S613657,H13
S613658,H13
S613659,H13
S614650,H11+H13
S614652,H11+H13
S614653,H11+H13
S614654,H11+H13
S614655,H13
S614656,H13
S614657,H13
S614658,H13
S614659,H13
S615650,H11+H13
S615651,H11+H13
S615652,H11+H13
S615653,H13
S615654,H13
S615655,H13
S615656,H13
S615657,H13
S615658,H13
S615659,H13
S616650,H13
S616651,H13
S616652,H13
S616653,H13
S616654,H13
S616655,H13
S616656,H13
S616657,H13
S616658,H13
S616659,H13
S617650,H13
S617651,H13
S617652,H13
S617653,H13
S617654,H13
S617655,H13
S617656,H13
S617657,H13
S617658,H13
S617659,H13
S618650,H13
S618651,H13
S618652,H13
S618653,H13
S618654,H13
S618655,H13
S618656,H13
S618657,H13
S618658,H13
S618659,H13
S619650,H13
S619651,H13
S619652,H13
S619653,H13
S619654,H13
S619655,H13
S619656,H13
S619657,H13
S619658,H13
S619659,H13
S66D,H11+H13
S6066,H11+H13
S606663,H11+H13
S606664,H11+H13
S606665,H11+H13
S606666,H11+H13
S606667,H11+H13
S607660,H11+H13
S607661,H11+H13
S607662,H11+H13
S607663,H11+H13
S607664,H11+H13
S607665,H13
S607666,H13
S607667,H11+H13
S608660,H13
S608661,H13
S608662,H13
S608663,H13
S608664,H13
S608665,H13
S608666,H13
S608667,H11+H13
S608668,H11+H13
S609660,H13
S609661,H13
S609662,H13
S609663,H13
S609664,H13
S609665,H13
S609666,H13
S609667,H13
S609668,H11+H13
S609669,H11+H13
S6166,H11+H13
S610660,H13
S610661,H13
S610662,H13
S610663,H13
S610664,H13
S610665,H13
S610666,H13
S610667,H13
S610668,H13
S610669,H11+H13
S611660,H13
S611661,H13
S611662,H13
S611663,H13
S611664,H13
S611665,H13
S611666,H13
S611667,H13
S611668,H13
S611669,H11+H13
S612660,H13
S612661,H13
S612662,H13
S612663,H13
S612664,H13
S612665,H13
S612666,H13
S612667,H13
S612668,H13
S612669,H13
S613660,H13
S613661,H13
S613662,H13
S613663,H13
S613664,H13
S613665,H13
S613666,H13
S613667,H13
S613668,H13
S613669,H13
S614660,H13
S614661,H13
S614662,H13
S614663,H13
S614664,H13
S614665,H13
S614666,H13
S614667,H13
S614668,H13
S614669,H13
S615660,H13
S615661,H13
S615662,H13
S615663,H13
S615664,H13
S615665,H13
S615666,H13
S615667,H13
S615668,H13
S615669,H13
S616660,H13
S616661,H13
S616662,H13
S616663,H13
S616664,H13
S616665,H13
S616666,H13
S616667,H13
S616668,H13
S616669,H13
S617660,H13
S617661,H13
S617662,H13
S617663,H13
S617664,H13
S617665,H13
S617666,H13
S617667,H13
S617668,H13
S617669,H13
S618660,H13
S618661,H13
S618662,H13
S618663,H13
S618664,H13
S618665,H13
S618666,H13
S618667,H13
S618668,H13
S618669,H13
S619660,H13
S619661,H13
S619662,H13
S619663,H13
S619664,H13
S619665,H13
S619666,H13
S619667,H13
S619668,H13
S619669,H13
S6167,H11+H13
S611670,H11+H13
S612670,H11+H13
S612671,H11+H13
S613670,H13
S613671,H11+H13
S614670,H13
S614671,H11+H13
S614672,H11+H13
S614673,H11+H13
S615670,H13
S615671,H13
S615672,H13
S615673,H11+H13
S615674,H11+H13
S616670,H13
S616671,H13
S616672,H13
S616673,H13
S616674,H11+H13
S616675,H11+H13
S617670,H13
S617671,H13
S617672,H13
S617673,H13
S617674,H13
S617675,H11+H13
S617676,H11+H13
S618670,H13
S618671,H13
S618672,H13
S618673,H13
S618674,H13
S618675,H13
S618676,H11+H13
S619670,H13
S619671,H13
S619672,H13
S619673,H13
S619674,H13
S619675,H13
S619676,H11+H13
S619677,H11+H13
S619678,H11+H13
S619679,H11+H13
S66E,H11+H13
S6168,H11+H13
S619680,H11+H13
S619681,H11+H13
S619682,H11+H13
S619683,H11+H13
S619684,H11+H13
S619685,H11+H13
S619686,H11+H13
S619687,H11+H13
S6169,H11+H13
S614697,H11+H13
S614698,H11+H13
