O,H0+H19+H20+H21+H22+H31
O01,H19+H20+H21
O01NE,H20+H21
O01P,H20+H21
O0519,H20+H21
O059199,H20+H21
O01U,H20+H21
O0618,H20+H21
O067186,H20+H21
O067187,H20+H21
O067188,H20+H21
O067189,H20+H21
O068186,H20+H21
O068187,H20+H21
O068188,H20+H21
O068189,H20+H21
O069188,H20+H21
O069189,H20+H21
O0619,H20+H21
O060197,H20+H21
O060198,H20+H21
O060199,H20+H21
O061196,H20+H21
O061197,H20+H21
O061198,H21
O061199,H21
O062195,H20+H21
O062196,H20+H21
O062197,H21
O062198,H21
O062199,H21
O063196,H20+H21
O063197,H20+H21
O063198,H21
O063199,H21
O064197,H20+H21
O064198,H21
O064199,H21
O065195,H20+H21
O065196,H20+H21
O065197,H20+H21
O065198,H21
O065199,H21
O066193,H20+H21
O066194,H20+H21
O066195,H20+H21
O066196,H21
O066197,H21
O066198,H21
O066199,H21
O067191,H20+H21
O067192,H20+H21
O067193,H20+H21
O067194,H21
O067195,H21
O067196,H21
O067197,H21
O067198,H21
O067199,H21
O068190,H20+H21
O068191,H20+H21
O068192,H21
O068193,H21
O068194,H21
O068195,H21
O068196,H21
O068197,H21
O068198,H21
O068199,H21
O069190,H21
O069191,H21
O069192,H21
O069193,H21
O069194,H21
O069195,H21
O069196,H21
O069197,H21
O069198,H21
O069199,H21
O0718,H20+H21
O070189,H20+H21
O0719,H20+H21
O070190,H20+H21
O070191,H20+H21
O070192,H21
O070193,H21
O070194,H21
O070195,H21
O070196,H21
O070197,H21
O070198,H21
O070199,H21
O071191,H20+H21
O071192,H21
O071193,H21
O071194,H21
O071195,H21
O071196,H21
O071197,H21
O071198,H21
O071199,H21
O072191,H20+H21
O072192,H20+H21
O072193,H21
O072194,H21
O072195,H21
O072196,H21
O072197,H21
O072198,H21
O072199,H21
O073192,H20+H21
O073193,H21
O073194,H21
O073195,H21
O073196,H21
O073197,H21
O073198,H21
O073199,H21
O074192,H20+H21
O074193,H20+H21
O074194,H21
O074195,H21
O074196,H21
O074197,H21
O074198,H21
O074199,H21
O075193,H20+H21
O075194,H21
O075195,H21
O075196,H21
O075197,H21
O075198,H21
O075199,H21
O076193,H20+H21
O076194,H21
O076195,H21
O076196,H21
O076197,H21
O076198,H21
O076199,H21
O077193,H20+H21
O077194,H21
O077195,H21
O077196,H21
O077197,H21
O077198,H21
O077199,H21
O078193,H20+H21
O078194,H21
O078195,H21
O078196,H21
O078197,H21
O078198,H21
O078199,H21
O079193,H20+H21
O079194,H21
O079195,H21
O079196,H21
O079197,H21
O079198,H21
O079199,H21
O01Y,H20+H21
O0816,H20+H21
O086169,H20+H21
O087169,H20+H21
O088168,H20+H21
O088169,H20+H21
O089167,H20+H21
O089168,H20+H21
O089169,H21
O0817,H20+H21
O086170,H20+H21
O087170,H20+H21
O087171,H20+H21
O087172,H20+H21
O087173,H20+H21
O087174,H20+H21
O087175,H20+H21
O087176,H20+H21
O088170,H21
O088171,H21
O088172,H21
O088173,H21
O088174,H21
O088175,H21
O088176,H20+H21
O088177,H20+H21
O088178,H20+H21
O088179,H20+H21
O089170,H21
O089171,H21
O089172,H21
O089173,H21
O089174,H21
O089175,H21
O089176,H21
O089177,H21
O089178,H21
O089179,H21
O0916,H20+H21
O090166,H20+H21
O090167,H20+H21
O090168,H21
O090169,H21
O091166,H20+H21
O091167,H21
O091168,H21
O091169,H21
O092165,H20+H21
O092166,H20+H21
O092167,H21
O092168,H21
O092169,H21
O093164,H20+H21
O093165,H20+H21
O093166,H21
O093167,H21
O093168,H21
O093169,H21
O094163,H20+H21
O094164,H20+H21
O094165,H21
O094166,H21
O094167,H21
O094168,H21
O094169,H21
O095163,H20+H21
O095164,H21
O095165,H21
O095166,H21
O095167,H21
O095168,H21
O095169,H21
O096162,H20+H21
O096163,H20+H21
O096164,H21
O096165,H21
O096166,H21
O096167,H21
O096168,H21
O096169,H21
O097162,H20+H21
O097163,H21
O097164,H21
O097165,H21
O097166,H21
O097167,H21
O097168,H21
O097169,H21
O098162,H20+H21
O098163,H21
O098164,H21
O098165,H21
O098166,H21
O098167,H21
O098168,H21
O098169,H21
O099161,H20+H21
O099162,H20+H21
O099163,H21
O099164,H21
O099165,H21
O099166,H21
O099167,H21
O099168,H21
O099169,H21
O0917,H21
O01Z,H20+H21
O0818,H20+H21
O088180,H20+H21
O088181,H20+H21
O088182,H20+H21
O088183,H20+H21
O089180,H21
O089181,H21
O089182,H21
O089183,H20+H21
O089184,H20+H21
O089185,H20+H21
O089186,H20+H21
O089187,H20+H21
O089188,H20+H21
O089189,H20+H21
O0819,H20+H21
O080193,H20+H21
O080194,H20+H21
O080195,H21
O080196,H21
O080197,H21
O080198,H21
O080199,H21
O081194,H20+H21
O081195,H21
O081196,H21
O081197,H21
O081198,H21
O081199,H21
O082194,H20+H21
O082195,H21
O082196,H21
O082197,H21
O082198,H21
O082199,H21
O083194,H20+H21
O083195,H20+H21
O083196,H21
O083197,H21
O083198,H21
O083199,H21
O084195,H20+H21
O084196,H21
O084197,H21
O084198,H21
O084199,H21
O085195,H20+H21
O085196,H20+H21
O085197,H21
O085198,H21
O085199,H21
O086195,H20+H21
O086196,H21
O086197,H21
O086198,H21
O086199,H21
O087194,H20+H21
O087195,H20+H21
O087196,H21
O087197,H21
O087198,H21
O087199,H21
O088194,H20+H21
O088195,H21
O088196,H21
O088197,H21
O088198,H21
O088199,H21
O089190,H20+H21
O089191,H20+H21
O089193,H20+H21
O089194,H20+H21
O089195,H21
O089196,H21
O089197,H21
O089198,H21
O089199,H21
O0918,H21
O0919,H20+H21
O090190,H21
O090191,H20+H21
O090192,H20+H21
O090193,H20+H21
O090194,H21
O090195,H21
O090196,H21
O090197,H21
O090198,H21
O090199,H21
O091190,H21
O091191,H21
O091192,H21
O091193,H21
O091194,H21
O091195,H21
O091196,H21
O091197,H21
O091198,H21
O091199,H21
O092190,H21
O092191,H21
O092192,H21
O092193,H21
O092194,H21
O092195,H21
O092196,H21
O092197,H21
O092198,H21
O092199,H21
O093190,H21
O093191,H21
O093192,H21
O093193,H21
O093194,H21
O093195,H21
O093196,H21
O093197,H21
O093198,H21
O093199,H21
O094190,H21
O094191,H21
O094192,H21
O094193,H21
O094194,H21
O094195,H21
O094196,H21
O094197,H21
O094198,H21
O094199,H21
O095190,H21
O095191,H21
O095192,H21
O095193,H21
O095194,H21
O095195,H21
O095196,H21
O095197,H21
O095198,H21
O095199,H21
O096190,H21
O096191,H21
O096192,H21
O096193,H21
O096194,H21
O096195,H21
O096196,H21
O096197,H21
O096198,H21
O096199,H21
O097190,H21
O097191,H21
O097192,H21
O097193,H21
O097194,H21
O097195,H21
O097196,H21
O097197,H21
O097198,H21
O097199,H21
O098190,H21
O098191,H21
O098192,H21
O098193,H21
O098194,H21
O098195,H21
O098196,H21
O098197,H21
O098198,H21
O098199,H21
O099190,H21
O099191,H21
O099192,H21
O099193,H21
O099194,H21
O099195,H21
O099196,H21
O099197,H21
O099198,H21
O099199,H21
O02,H19+H20+H21
O02SW,H19+H20+H21
O02NW,H21
O02SE,H20+H21
O02NE,H21
O02A,H19+H20+H21
O0121,H19+H20+H21
O015219,H19+H21
O016219,H19+H21
O017219,H19+H21
O018214,H19+H20+H21
O018215,H19+H20+H21
O018218,H19+H21
O018219,H19+H21
O019213,H20+H21
O019214,H20+H21
O019215,H19+H21
O019216,H19+H21
O019218,H19+H21
O019219,H21
O02B,H19+H21
O0022,H19+H21
O000225,H19+H21
O000226,H21
O000227,H21
O000228,H21
O000229,H21
O001224,H19+H21
O001225,H19+H21
O001226,H21
O001227,H21
O001228,H21
O001229,H21
O002224,H19+H21
O002225,H21
O002226,H21
O002227,H21
O002228,H21
O002229,H21
O003223,H19+H21
O003224,H19+H21
O003225,H21
O003226,H21
O003227,H21
O003228,H21
O003229,H21
O004223,H19+H21
O004224,H21
O004225,H21
O004226,H21
O004227,H21
O004228,H21
O004229,H21
O005223,H19+H21
O005224,H21
O005225,H21
O005226,H21
O005227,H21
O005228,H21
O005229,H21
O006222,H19+H21
O006223,H19+H21
O006224,H21
O006225,H21
O006226,H21
O006227,H21
O006228,H21
O006229,H21
O007222,H19+H21
O007223,H21
O007224,H21
O007225,H21
O007226,H21
O007227,H21
O007228,H21
O007229,H21
O008222,H19+H21
O008223,H21
O008224,H21
O008225,H21
O008226,H21
O008227,H21
O008228,H21
O008229,H21
O009221,H19+H21
O009222,H19+H21
O009223,H21
O009224,H21
O009225,H21
O009226,H21
O009227,H21
O009228,H21
O009229,H21
O0023,H21
O0122,H19+H21
O010221,H19+H21
O010222,H21
O010223,H21
O010224,H21
O010225,H21
O010226,H21
O010227,H21
O010228,H21
O010229,H21
O011221,H19+H21
O011222,H21
O011223,H21
O011224,H21
O011225,H21
O011226,H21
O011227,H21
O011228,H21
O011229,H21
O012220,H19+H21
O012221,H19+H21
O012222,H21
O012223,H21
O012224,H21
O012225,H21
O012226,H21
O012227,H21
O012228,H21
O012229,H21
O013220,H19+H21
O013221,H21
O013222,H21
O013223,H21
O013224,H21
O013225,H21
O013226,H21
O013227,H21
O013228,H21
O013229,H21
O014220,H19+H21
O014221,H21
O014222,H21
O014223,H21
O014224,H21
O014225,H21
O014226,H21
O014227,H21
O014228,H21
O014229,H21
O015220,H19+H21
O015221,H21
O015222,H21
O015223,H21
O015224,H21
O015225,H21
O015226,H21
O015227,H21
O015228,H21
O015229,H21
O016220,H21
O016221,H21
O016222,H21
O016223,H21
O016224,H21
O016225,H21
O016226,H21
O016227,H21
O016228,H21
O016229,H21
O017220,H21
O017221,H21
O017222,H21
O017223,H21
O017224,H21
O017225,H21
O017226,H21
O017227,H21
O017228,H21
O017229,H21
O018220,H21
O018221,H21
O018222,H21
O018223,H21
O018224,H21
O018225,H21
O018226,H21
O018227,H21
O018228,H21
O018229,H21
O019220,H21
O019221,H21
O019222,H21
O019223,H21
O019224,H21
O019225,H21
O019226,H21
O019227,H21
O019228,H21
O019229,H21
O0123,H21
O02C,H21
O02D,H21
O02E,H21
O02F,H19+H20+H21
O0220,H20+H21
O022209,H20+H21
O023208,H20+H21
O023209,H20+H21
O024208,H20+H21
O024209,H21
O025207,H20+H21
O025208,H20+H21
O025209,H21
O026206,H20+H21
O026207,H20+H21
O026208,H21
O026209,H21
O027206,H20+H21
O027207,H21
O027208,H21
O027209,H21
O028204,H20+H21
O028205,H20+H21
O028206,H20+H21
O028207,H21
O028208,H21
O028209,H21
O029205,H20+H21
O029206,H20+H21
O029207,H21
O029208,H21
O029209,H21
O0221,H19+H20+H21
O020212,H20+H21
O020213,H20+H21
O020214,H21
O020215,H21
O020216,H19+H21
O020217,H19+H21
O020218,H19+H21
O020219,H21
O021210,H20+H21
O021211,H20+H21
O021212,H20+H21
O021213,H21
O021214,H21
O021215,H21
O021216,H21
O021217,H21
O021218,H21
O021219,H21
O022210,H20+H21
O022211,H21
O022212,H21
O022213,H21
O022214,H21
O022215,H21
O022216,H21
O022217,H21
O022218,H21
O022219,H21
O023210,H21
O023211,H21
O023212,H21
O023213,H21
O023214,H21
O023215,H21
O023216,H21
O023217,H21
O023218,H21
O023219,H21
O024210,H21
O024211,H21
O024212,H21
O024213,H21
O024214,H21
O024215,H21
O024216,H21
O024217,H21
O024218,H21
O024219,H21
O025210,H21
O025211,H21
O025212,H21
O025213,H21
O025214,H21
O025215,H21
O025216,H21
O025217,H21
O025218,H21
O025219,H21
O026210,H21
O026211,H21
O026212,H21
O026213,H21
O026214,H21
O026215,H21
O026216,H21
O026217,H21
O026218,H21
O026219,H21
O027210,H21
O027211,H21
O027212,H21
O027213,H21
O027214,H21
O027215,H21
O027216,H21
O027217,H21
O027218,H21
O027219,H21
O028210,H21
O028211,H21
O028212,H21
O028213,H21
O028214,H21
O028215,H21
O028216,H21
O028217,H21
O028218,H21
O028219,H21
O029210,H21
O029211,H21
O029212,H21
O029213,H21
O029214,H21
O029215,H21
O029216,H21
O029217,H21
O029218,H21
O029219,H21
O0320,H20+H21
O030206,H20+H21
O030207,H20+H21
O030208,H20+H21
O030209,H21
O031208,H20+H21
O031209,H20+H21
O0321,H20+H21
O030210,H21
O030211,H21
O030212,H21
O030213,H21
O030214,H21
O030215,H21
O030216,H21
O030217,H21
O030218,H21
O030219,H21
O031210,H20+H21
O031211,H20+H21
O031212,H21
O031213,H21
O031214,H21
O031215,H21
O031216,H21
O031217,H21
O031218,H21
O031219,H21
O032211,H20+H21
O032212,H21
O032213,H21
O032214,H21
O032215,H21
O032216,H21
O032217,H21
O032218,H21
O032219,H21
O033211,H20+H21
O033212,H20+H21
O033213,H21
O033214,H21
O033215,H21
O033216,H21
O033217,H21
O033218,H21
O033219,H21
O034212,H20+H21
O034213,H21
O034214,H21
O034215,H21
O034216,H21
O034217,H21
O034218,H21
O034219,H21
O035212,H20+H21
O035213,H21
O035214,H21
O035215,H21
O035216,H21
O035217,H21
O035218,H21
O035219,H21
O036212,H20+H21
O036213,H21
O036214,H21
O036215,H21
O036216,H21
O036217,H21
O036218,H21
O036219,H21
O037211,H20+H21
O037212,H20+H21
O037213,H21
O037214,H21
O037215,H21
O037216,H21
O037217,H21
O037218,H21
O037219,H21
O038211,H20+H21
O038212,H20+H21
O038213,H21
O038214,H21
O038215,H21
O038216,H21
O038217,H21
O038218,H21
O038219,H21
O039211,H20+H21
O039212,H21
O039213,H21
O039214,H21
O039215,H21
O039216,H21
O039217,H21
O039218,H21
O039219,H21
O02G,H21
O02H,H21
O02I,H21
O02J,H21
O02K,H20+H21
O0421,H20+H21
O040211,H20+H21
O040212,H20+H21
O040213,H21
O040214,H21
O040215,H21
O040216,H21
O040217,H21
O040218,H21
O040219,H21
O041211,H20+H21
O041212,H20+H21
O041213,H21
O041214,H21
O041215,H21
O041216,H21
O041217,H21
O041218,H21
O041219,H21
O042211,H20+H21
O042212,H21
O042213,H21
O042214,H21
O042215,H21
O042216,H21
O042217,H21
O042218,H21
O042219,H21
O043211,H20+H21
O043212,H20+H21
