C,H0+H34+H35+H36+H39+H40
C00,H34+H35
C00SW,H34+H35
C00NW,H34+H35
C00NE,H34+H35
C00C,H34+H35
C0004,H34+H35
C000040,H34+H35
C000041,H35
C000042,H35
C000043,H35
C000044,H35
C000045,H35
C000046,H35
C000047,H35
C000048,H35
C000049,H35
C001040,H34+H35
C001041,H34+H35
C001042,H35
C001043,H35
C001044,H35
C001045,H35
C001046,H35
C001047,H35
C001048,H35
C001049,H35
C002041,H34+H35
C002042,H35
C002043,H35
C002044,H35
C002045,H35
C002046,H35
C002047,H35
C002048,H35
C002049,H35
C003041,H34+H35
C003042,H34+H35
C003043,H35
C003044,H35
C003045,H35
C003046,H35
C003047,H35
C003048,H35
C003049,H35
C004042,H34+H35
C004043,H34+H35
C004044,H35
C004045,H35
C004046,H35
C004047,H35
C004048,H35
C004049,H35
C005043,H34+H35
C005044,H35
C005045,H35
C005046,H35
C005047,H35
C005048,H35
C005049,H35
C006043,H34+H35
C006044,H34+H35
C006045,H35
C006046,H35
C006047,H35
C006048,H35
C006049,H35
C007044,H34+H35
C007045,H35
C007046,H35
C007047,H35
C007048,H35
C007049,H35
C008044,H34+H35
C008045,H34+H35
C008046,H35
C008047,H35
C008048,H35
C008049,H35
C009045,H34+H35
C009046,H35
C009047,H35
C009048,H35
C009049,H35
C0005,H35
C0104,H34+H35
C010045,H34+H35
C010046,H34+H35
C010047,H35
C010048,H35
C010049,H35
C011046,H34+H35
C011047,H35
C011048,H35
C011049,H35
C012046,H34+H35
C012047,H34+H35
C012048,H35
C012049,H35
C013047,H34+H35
C013048,H35
C013049,H35
C014047,H34+H35
C014048,H34+H35
C014049,H35
C015048,H34+H35
C015049,H35
C016048,H34+H35
C016049,H34+H35
C017049,H34+H35
C018049,H34+H35
C0105,H34+H35
C010050,H35
C010051,H35
C010052,H35
C010053,H35
C010054,H35
C010055,H35
C010056,H35
C010057,H35
C010058,H35
C010059,H35
C011050,H35
C011051,H35
C011052,H35
C011053,H35
C011054,H35
C011055,H35
C011056,H35
C011057,H35
C011058,H35
C011059,H35
C012050,H35
C012051,H35
C012052,H35
C012053,H35
C012054,H35
C012055,H35
C012056,H35
C012057,H35
C012058,H35
C012059,H35
C013050,H35
C013051,H35
C013052,H35
C013053,H35
C013054,H35
C013055,H35
C013056,H35
C013057,H35
C013058,H35
C013059,H35
C014050,H35
C014051,H35
C014052,H35
C014053,H35
C014054,H35
C014055,H35
C014056,H35
C014057,H35
C014058,H35
C014059,H35
C015050,H35
C015051,H35
C015052,H35
C015053,H35
C015054,H35
C015055,H35
C015056,H35
C015057,H35
C015058,H35
C015059,H35
C016050,H35
C016051,H35
C016052,H35
C016053,H35
C016054,H35
C016055,H35
C016056,H35
