R,H0+H2+H4+H5+H6+H7+H8+H9+H10+H15+H18
R02,H2+H8
R02SE,H2+H8
R02NE,H2+H8
R02W,H2+H8
R0823,H2+H8
R085237,H2+H8
R085238,H2+H8
R085239,H2+H8
R086236,H2+H8
R086237,H2+H8
R086238,H8
R086239,H8
R087232,H2+H8
R087233,H2+H8
R087234,H2+H8
R087235,H2+H8
R087236,H2+H8
R087237,H8
R087238,H8
R087239,H8
R088232,H2+H8
R088233,H8
R088234,H8
R088235,H8
R088236,H8
R088237,H8
R088238,H8
R088239,H8
R089232,H2+H8
R089233,H2+H8
R089234,H8
R089235,H8
R089236,H8
R089237,H8
R089238,H8
R089239,H8
R0922,H2+H8
R096229,H2+H8
R097228,H2+H8
R097229,H2+H8
R098228,H2+H8
R098229,H8
R099228,H2+H8
R099229,H2+H8
R0923,H2+H8
R090233,H2+H8
R090234,H8
R090235,H8
R090236,H8
R090237,H8
R090238,H8
R090239,H8
R091233,H2+H8
R091234,H2+H8
R091235,H8
R091236,H8
R091237,H8
R091238,H8
R091239,H8
R092234,H2+H8
R092235,H8
R092236,H8
R092237,H8
R092238,H8
R092239,H8
R093233,H2+H8
R093234,H2+H8
R093235,H8
R093236,H8
R093237,H8
R093238,H8
R093239,H8
R094232,H2+H8
R094233,H2+H8
R094234,H8
R094235,H8
R094236,H8
R094237,H8
R094238,H8
R094239,H8
R095231,H2+H8
R095232,H2+H8
R095233,H8
R095234,H8
R095235,H8
R095236,H8
R095237,H8
R095238,H8
R095239,H8
R096230,H2+H8
R096231,H2+H8
R096232,H8
R096233,H8
R096234,H8
R096235,H8
R096236,H8
R096237,H8
R096238,H8
R096239,H8
R097230,H8
R097231,H8
R097232,H8
R097233,H8
R097234,H8
R097235,H8
R097236,H8
R097237,H8
R097238,H8
R097239,H8
R098230,H8
R098231,H8
R098232,H8
R098233,H8
R098234,H8
R098235,H8
R098236,H8
R098237,H8
R098238,H8
R098239,H8
R099230,H2+H8
R099231,H8
R099232,H8
R099233,H8
R099234,H8
R099235,H8
R099236,H8
R099237,H8
R099238,H8
R099239,H8
R02X,H2+H8
R0824,H2+H8
R084249,H2+H8
R085240,H2+H8
R085241,H2+H8
R085247,H2+H8
R085248,H2+H8
R085249,H2+H8
R086240,H8
R086241,H2+H8
R086242,H2+H8
R086243,H2+H8
R086244,H2+H8
R086245,H2+H8
R086246,H2+H8
R086247,H2+H8
R086248,H8
R086249,H8
R087240,H8
R087241,H8
R087242,H8
R087243,H8
R087244,H8
R087245,H8
R087246,H8
R087247,H8
R087248,H8
R087249,H8
R088240,H8
R088241,H8
R088242,H8
R088243,H8
R088244,H8
R088245,H8
R088246,H8
R088247,H8
R088248,H8
R088249,H8
R089240,H8
R089241,H8
R089242,H8
R089243,H8
R089244,H8
R089245,H8
R089246,H8
R089247,H8
R089248,H8
R089249,H8
R0825,H2+H8
R084250,H2+H8
R085250,H2+H8
R085251,H2+H8
R086250,H8
R086251,H2+H8
R087250,H8
R087251,H2+H8
R087252,H2+H8
R088250,H8
R088251,H8
R088252,H2+H8
R088253,H2+H8
R089250,H8
R089251,H8
R089252,H8
R089253,H2+H8
R0924,H8
R0925,H2+H8
R090250,H8
R090251,H8
R090252,H8
R090253,H2+H8
R090254,H2+H8
R091250,H8
R091251,H8
R091252,H8
R091253,H8
R091254,H2+H8
R092250,H8
R092251,H8
R092252,H8
R092253,H8
R092254,H2+H8
R093250,H8
R093251,H8
R093252,H8
R093253,H8
R093254,H2+H8
R094250,H8
R094251,H8
R094252,H8
R094253,H8
R094254,H2+H8
R095250,H8
R095251,H8
R095252,H8
R095253,H8
R095254,H2+H8
R095255,H2+H8
R096250,H8
R096251,H8
R096252,H8
R096253,H8
R096254,H8
R096255,H2+H8
R096256,H2+H8
R096257,H2+H8
R097250,H8
R097251,H8
R097252,H8
R097253,H8
R097254,H8
R097255,H8
R097256,H8
R097257,H2+H8
R097258,H2+H8
R098250,H8
R098251,H8
R098252,H8
R098253,H8
R098254,H8
R098255,H8
R098256,H8
R098257,H8
R098258,H2+H8
R099250,H8
R099251,H8
R099252,H8
